region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,virgin_10d_sucrose,dm_R57C10xGC6s_190429a,yeast,10%,07,dm_R57C10xGC6s_190429a_07_yeast_10%_SEZ_volreg_transfor_gauss.nii,6127.098,6488.497,6467.191,6336.676,6281.8706,6448.4053,6357.966,6283.0737,6151.312,6081.2715,6125.151,6162.0273,6166.304,5964.1055,5979.7866,5868.204,5877.24,5739.0894,6001.7935,5799.861,5958.38,5920.7188,6043.2646,5904.054,5817.8403,5745.5366,5917.7886,6000.41,6089.2847,6063.1216,5971.7427,6041.0825,6189.8916,6161.6387,6170.231,6265.69,6060.4395,6251.5645,5901.099,6236.9873,6194.652,6397.6704,6117.0923,6025.065,6221.3364,6036.2627,6143.212,6083.711,6220.966,6128.159,6063.735,6044.7246,6056.241,6101.476,6014.546,6000.9995,6076.736,6261.4014,6083.7866,6006.792
2,virgin_10d_sucrose,dm_R57C10xGC6s_190429a,yeast,10%,07,dm_R57C10xGC6s_190429a_07_yeast_10%_SEZ_volreg_transfor_gauss.nii,2970.4167,3089.4229,3024.514,3027.7957,3070.4856,3085.9937,2920.7703,3123.4434,3153.282,3170.41,2987.8567,3153.0986,3107.7393,3092.2825,3102.5227,3026.1045,3068.5386,3058.023,2950.0452,3002.203,3063.195,3030.8174,2955.9382,2977.3406,2999.7593,2982.6262,3047.1604,2921.2563,2945.0078,2975.5728,2974.1775,2948.774,3123.5103,3007.5896,2991.399,3015.7864,2914.1726,2965.8022,2962.897,3050.7273,3070.6055,3111.4033,3102.402,3158.1113,3079.3572,3120.4272,3109.6213,3107.1958,2972.078,3057.9114,3089.5283,3076.1426,3081.8862,3153.2222,3050.5144,3101.4182,3105.4307,2931.4976,3022.1091,3056.3577
3,virgin_10d_sucrose,dm_R57C10xGC6s_190429a,yeast,10%,07,dm_R57C10xGC6s_190429a_07_yeast_10%_SEZ_volreg_transfor_gauss.nii,6655.5127,7017.8057,6450.611,6516.681,6504.223,6522.5913,6311.745,6327.7783,5990.6655,6306.457,6019.953,7343.9053,7261.0522,6545.828,6591.4824,6693.0024,6241.0767,6085.1157,6238.5625,6476.568,6774.417,6316.556,7199.152,6597.4604,6781.642,6654.808,6523.275,7018.1763,7108.8145,7068.698,7326.832,6973.3984,7312.543,7482.311,7533.672,7186.4287,7067.7144,7215.4995,6548.928,7295.8545,7412.3105,7586.9507,7039.2764,7189.7886,7810.229,7645.756,7125.071,6870.8867,6989.32,7374.4146,7464.081,7188.585,7218.056,7253.165,6977.3867,7475.8745,7025.308,7316.1406,6893.1045,7461.272
4,virgin_10d_sucrose,dm_R57C10xGC6s_190429a,yeast,10%,07,dm_R57C10xGC6s_190429a_07_yeast_10%_SEZ_volreg_transfor_gauss.nii,6380.0435,6203.976,5909.0264,6015.1387,5879.585,6125.404,5934.5215,5956.497,6138.7896,6199.6113,5791.413,6701.996,6482.4556,6212.1367,6184.677,6054.6636,6035.52,5936.425,5680.1133,5835.3867,5954.0024,5867.7427,6115.859,6205.239,6085.4883,6232.141,6195.8413,6047.6787,5940.729,6038.9365,5939.6777,6032.8145,6198.3657,6350.9126,6288.5596,6326.4805,6537.223,6265.8955,6402.5215,6230.399,6289.617,6325.52,6391.356,6217.427,6166.941,6248.919,6329.034,6294.359,6413.693,6342.9263,6160.0415,6141.49,6156.773,6278.989,6280.626,6239.9126,6220.7065,6443.556,6358.298,6255.5938
5,virgin_10d_sucrose,dm_R57C10xGC6s_190429a,yeast,10%,07,dm_R57C10xGC6s_190429a_07_yeast_10%_SEZ_volreg_transfor_gauss.nii,7397.535,7725.836,7676.8555,7630.058,7688.586,7749.26,7383.3843,7485.315,7626.9644,7580.3047,7643.67,7919.595,7811.938,7829.14,7678.781,7834.548,7706.087,7357.5522,7621.7866,7300.211,7352.661,7061.0537,7694.6274,7683.9443,7295.344,7445.333,7489.6177,7743.0044,7475.77,7567.0693,7551.5713,7372.863,7627.5464,7465.665,7301.3315,7489.4824,7515.457,7577.7305,7539.067,7562.935,7770.6396,7687.601,7559.639,7498.8086,7569.903,7536.555,7685.6772,7656.842,7477.393,7677.295,7456.666,7380.666,7370.844,7460.296,7553.87,7486.24,7418.648,7592.48,7510.9316,7489.15
6,virgin_10d_sucrose,dm_R57C10xGC6s_190429a,yeast,10%,07,dm_R57C10xGC6s_190429a_07_yeast_10%_SEZ_volreg_transfor_gauss.nii,5578.343,6045.999,6025.081,6138.1216,6161.257,6048.305,5873.078,6100.3965,6248.489,6158.5293,6031.16,6362.824,6284.5425,6274.9883,6192.3516,6186.022,6254.597,6002.1714,6042.296,5747.678,5925.957,5759.5312,6299.728,6112.703,5948.711,6147.122,6278.3003,6125.8706,5882.3164,6074.804,5906.3413,5852.096,6086.819,5624.719,5897.8105,5924.591,6047.9395,6000.914,6004.67,6065.6777,6225.1943,6154.394,6029.6436,5877.1997,5977.9497,5826.6196,6197.4365,6398.269,6147.7754,6108.1387,5941.265,5942.9067,6000.8657,6120.308,6074.612,5980.1953,5964.6846,6026.675,5880.6396,5987.4683
7,virgin_10d_sucrose,dm_R57C10xGC6s_190429a,yeast,10%,07,dm_R57C10xGC6s_190429a_07_yeast_10%_SEZ_volreg_transfor_gauss.nii,5926.332,6086.327,6155.7095,6237.902,6265.25,6250.8115,6122.64,6402.086,6353.0337,6355.681,6225.2734,6305.0293,6274.844,6342.021,6271.2812,6183.083,6111.893,6119.3804,5976.8247,5975.3804,6146.3633,6009.846,6156.3706,5997.5664,5903.4746,6196.0938,6102.2065,6019.733,5886.0317,5866.9478,5913.327,5958.573,6164.659,5873.1484,5853.713,6096.9424,6114.355,6082.3633,6130.6597,6094.526,6215.752,6123.0737,6174.661,5932.991,5944.05,6141.056,6102.1577,5997.6953,6132.6177,5962.9663,5968.729,5999.0264,6018.4404,6090.8213,5986.1436,6041.2925,5966.796,5960.826,6027.3535,6037.6597
8,virgin_10d_sucrose,dm_R57C10xGC6s_190429a,yeast,10%,07,dm_R57C10xGC6s_190429a_07_yeast_10%_SEZ_volreg_transfor_gauss.nii,6265.8296,6633.1216,6551.506,6529.198,6525.7544,6522.7007,6591.491,6713.2847,6544.044,6655.5664,6553.6772,6543.226,6661.1,6473.829,6379.3896,6305.2896,6392.0415,6492.0645,6335.659,6441.7607,6453.3975,6363.264,6381.731,6363.6313,6336.206,6346.897,6384.5815,6267.386,6189.9272,6210.7827,6310.3223,6323.5483,6339.8525,6323.0283,6473.428,6275.8325,6461.5103,6402.5874,6426.2876,6431.2188,6439.3057,6573.409,6571.271,6428.0,6539.3203,6351.1826,6495.9995,6369.809,6387.0503,6338.0156,6316.7837,6446.1943,6353.8926,6323.261,6166.964,6392.544,6344.2173,6440.6577,6168.591,6392.342
9,virgin_10d_sucrose,dm_R57C10xGC6s_190429a,yeast,10%,07,dm_R57C10xGC6s_190429a_07_yeast_10%_SEZ_volreg_transfor_gauss.nii,3645.6414,3856.9968,3830.5713,3810.0366,3794.108,3879.5918,3708.993,3889.3335,3994.6396,3970.7625,3875.2095,4263.4136,4136.6855,4097.123,4067.2227,4041.5454,4103.842,3998.9949,3905.228,3743.9421,3879.4365,3774.4062,3873.4597,3938.2104,3842.6538,3987.005,3993.7773,3928.3728,3884.4963,3889.6514,3896.3,3848.2808,4026.3403,3770.315,3752.7961,3983.5461,3897.9575,3785.011,3882.598,3937.9705,4025.3657,3923.388,3990.8457,3970.254,3936.7368,3980.5466,3983.7705,3966.1055,3952.004,3921.3557,3854.8618,3844.6057,3918.7183,3933.4502,3872.3965,3940.8943,3876.0337,3771.486,3846.602,3855.7332
10,virgin_10d_sucrose,dm_R57C10xGC6s_190429a,yeast,10%,07,dm_R57C10xGC6s_190429a_07_yeast_10%_SEZ_volreg_transfor_gauss.nii,4555.5464,4476.1655,4378.4175,3970.1375,4299.8228,4468.7695,4334.982,4216.482,4597.875,4682.584,4519.427,4631.8184,4619.4287,4594.2383,4502.792,4410.06,4259.5107,4248.2324,4330.423,4244.598,4272.7114,4290.475,4354.7803,4312.9893,4300.054,4296.183,4328.439,4234.216,4305.0664,4402.7383,4274.8735,4298.463,4061.0845,4592.595,4434.664,4232.1167,4427.321,4516.492,4395.421,4458.975,4412.9746,4614.7314,4342.9136,4546.2964,4554.6235,4652.4536,4570.2935,4525.3267,4397.5264,4487.054,4499.0347,4723.8784,4395.0684,4626.8604,4608.18,4394.5825,4513.447,4592.3584,4340.0566,4375.6724
