region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,virgin_10d_sucrose,dm_R57C10xGC6s_190429b,yeast,10%,03,dm_R57C10xGC6s_190429b_03_yeast_10%_SEZ_volreg_transfor_gauss.nii,6650.125,7065.8643,7400.0005,7598.848,7402.8706,7335.588,7251.5913,7212.323,7095.461,6952.404,7122.024,7112.8643,7113.314,7287.9863,7140.943,7160.978,7111.881,6882.6777,7061.896,7042.388,6700.8555,7043.38,6940.1445,7061.1826,7068.4146,7047.0044,6961.587,6965.2065,6975.4644,7067.8164,6741.786,7049.8516,7047.163,7021.6704,6961.9355,6974.791,6975.631,6963.7964,7006.5874,7016.6367,7001.544,7057.3096,6930.8164,7013.4795,6960.6772,6967.3975,7228.9707,8150.346,8572.461,8475.934,8555.145,8415.203,8565.283,8375.898,8056.0825,7975.133,7771.359,7579.649,7263.987,7479.762
2,virgin_10d_sucrose,dm_R57C10xGC6s_190429b,yeast,10%,03,dm_R57C10xGC6s_190429b_03_yeast_10%_SEZ_volreg_transfor_gauss.nii,3254.7197,3390.2092,3562.7078,3542.897,3558.924,3519.0554,3518.3896,3490.879,3547.5823,3460.1165,3612.8623,3408.6147,3721.705,3642.1277,3586.1648,3495.8037,3576.4941,3388.5317,3543.382,3553.1506,3429.6848,3527.9028,3683.6372,3508.9817,3617.2935,3519.8875,3545.4563,3504.896,3510.9175,3573.1394,3436.5098,3460.0894,3424.5679,3530.3923,3427.0574,3422.458,3549.5256,3491.9543,3447.6853,3468.9072,3424.675,3417.074,3537.5208,3498.3594,3507.936,3462.0435,3594.6682,3476.9624,3735.8691,3607.284,3550.8833,3711.0127,3657.2576,3742.8433,3635.2131,3622.7964,3539.059,3547.538,3531.1174,3620.572
3,virgin_10d_sucrose,dm_R57C10xGC6s_190429b,yeast,10%,03,dm_R57C10xGC6s_190429b_03_yeast_10%_SEZ_volreg_transfor_gauss.nii,14619.937,14412.395,14442.493,14431.083,14298.705,15029.075,15071.555,15299.724,15540.079,15958.555,16295.93,16804.756,17366.875,16227.486,16423.018,16117.963,16436.975,16101.152,15899.323,16505.764,15733.968,16816.234,16701.959,16116.388,16192.661,16013.383,16082.562,15377.26,15892.617,16244.989,15854.803,16453.908,15653.577,14798.038,15011.545,15561.294,14829.255,15069.548,15920.331,15721.493,15625.957,14695.565,15384.502,15167.463,15543.628,15015.863,15727.153,14228.766,15112.172,15477.045,15841.253,15846.601,15517.86,15971.303,15659.137,15115.353,16115.745,16005.885,15195.091,14071.867
4,virgin_10d_sucrose,dm_R57C10xGC6s_190429b,yeast,10%,03,dm_R57C10xGC6s_190429b_03_yeast_10%_SEZ_volreg_transfor_gauss.nii,11936.294,11228.152,11729.21,11599.814,11414.035,11674.565,11649.453,11617.176,11408.546,11346.831,11694.735,13283.6455,13073.168,12678.719,12015.295,12414.472,12116.735,11523.19,11287.108,11312.567,11216.915,12100.85,12138.399,11889.591,11726.953,11637.215,11385.3545,11374.386,11398.793,11305.686,11405.913,11427.949,11422.706,11453.66,11254.112,11382.221,11329.264,11504.965,11514.321,11247.644,11262.771,11072.172,10975.565,10844.36,11003.051,10738.621,10698.354,10971.408,11506.222,11079.053,10985.246,11077.01,10878.876,11269.273,11105.259,11164.972,10805.487,10575.738,10470.523,10864.751
5,virgin_10d_sucrose,dm_R57C10xGC6s_190429b,yeast,10%,03,dm_R57C10xGC6s_190429b_03_yeast_10%_SEZ_volreg_transfor_gauss.nii,8282.073,8670.477,9069.1,9102.846,9017.474,8843.101,8781.634,8762.956,8708.145,8661.837,9186.31,9483.986,9613.626,9679.356,9598.553,9414.782,9141.871,8813.752,8907.729,8833.773,8594.414,9187.628,9148.117,9246.811,9133.451,9040.243,8974.618,9040.696,8916.139,8928.238,8888.475,8782.863,8621.297,8630.363,8442.696,8411.629,8459.79,8402.36,8388.692,8430.298,8318.072,8315.736,8383.573,8340.436,8368.085,8431.096,8375.041,9011.251,9475.083,9459.088,9377.762,9352.024,9165.923,9350.374,9192.072,9201.239,9005.923,8898.531,8686.274,9164.008
6,virgin_10d_sucrose,dm_R57C10xGC6s_190429b,yeast,10%,03,dm_R57C10xGC6s_190429b_03_yeast_10%_SEZ_volreg_transfor_gauss.nii,9159.402,9836.995,10301.4375,10636.145,10339.271,10224.997,10079.484,10098.898,9977.147,10000.53,9942.545,10851.679,10675.24,10591.874,10504.495,10516.909,10275.514,10136.301,9978.284,10195.094,9779.739,10126.41,10267.599,10062.203,10183.502,10322.248,10230.709,9952.918,9848.758,10199.053,10376.18,9809.699,9687.473,9925.427,9833.76,9632.206,9412.289,9652.426,9535.954,9387.234,9363.053,9301.305,9571.532,9494.393,9526.822,9490.242,9385.427,10010.11,10576.729,10687.069,10348.964,10462.026,10584.548,10696.531,10473.569,10213.974,10116.483,10111.085,9884.337,10576.435
7,virgin_10d_sucrose,dm_R57C10xGC6s_190429b,yeast,10%,03,dm_R57C10xGC6s_190429b_03_yeast_10%_SEZ_volreg_transfor_gauss.nii,6340.3047,6777.7207,7132.1704,7309.9194,7321.893,7259.305,7123.1885,7118.0894,7109.968,7080.129,7099.251,6954.991,7040.066,7028.1904,7059.2666,6888.397,6859.479,6801.129,6862.572,6857.259,6504.5024,6784.858,6883.81,7024.3022,6756.636,6877.9043,6763.7344,6725.4746,6650.5225,6767.047,6715.959,6745.842,6698.1514,6799.9956,6674.6787,6844.9536,6886.95,6662.416,6732.014,6813.8247,6708.7,6745.384,6802.322,6738.5635,6678.4937,6776.513,6592.884,6770.022,7359.624,7385.163,7151.745,7236.4556,7222.9736,7497.871,7480.071,7310.977,7038.8906,6956.663,6842.02,7130.6187
8,virgin_10d_sucrose,dm_R57C10xGC6s_190429b,yeast,10%,03,dm_R57C10xGC6s_190429b_03_yeast_10%_SEZ_volreg_transfor_gauss.nii,4856.1724,5109.7993,5260.644,5586.3545,5578.2866,5491.578,5403.082,5379.6133,5299.152,5139.982,5181.0674,5241.8525,5242.2896,5222.6943,5244.511,5224.537,5280.282,5186.692,5156.2036,5220.2026,5012.678,5112.846,5045.8154,5059.529,5133.7754,5098.275,5161.42,5029.973,5133.218,5101.2173,4988.592,5064.5596,5084.941,5103.1484,5058.8706,5106.7417,5069.7764,5143.8496,5110.329,5086.5933,5097.2607,5089.579,5003.33,5076.0244,5091.517,4956.104,4847.77,5042.623,5364.947,5320.5327,5580.7773,5318.5737,5461.344,5508.283,5312.19,5417.267,5310.1113,5209.0415,4936.4443,5195.8594
9,virgin_10d_sucrose,dm_R57C10xGC6s_190429b,yeast,10%,03,dm_R57C10xGC6s_190429b_03_yeast_10%_SEZ_volreg_transfor_gauss.nii,4318.804,4705.9805,5200.222,5244.3726,5057.37,4847.8496,4772.7915,4752.929,4665.7925,4720.3506,5233.6846,5765.764,6042.0195,5831.9224,5799.9707,5731.9727,5442.1865,5076.362,5019.052,4901.197,4884.68,5328.9434,5380.79,5414.0054,5366.828,5303.146,5249.389,5176.8,5075.0493,5053.767,5134.8745,4887.419,4779.429,4683.5186,4597.986,4544.147,4598.878,4608.9224,4490.1396,4564.5645,4525.2373,4479.4497,4529.7217,4500.0576,4444.3906,4518.7344,4742.5825,5240.482,5618.9824,5444.518,5098.4917,5391.9697,5578.391,5373.094,5144.715,5003.269,4825.4746,4721.508,4691.0264,4741.543
10,virgin_10d_sucrose,dm_R57C10xGC6s_190429b,yeast,10%,03,dm_R57C10xGC6s_190429b_03_yeast_10%_SEZ_volreg_transfor_gauss.nii,3546.4233,3716.663,3551.952,3584.3936,3668.2534,3520.2617,3647.9316,3634.4292,3614.2163,3683.2034,3808.906,3932.6892,4086.7832,4055.5764,4003.0105,4006.7156,3965.771,3755.1353,3730.5234,3758.3408,3584.153,3933.6667,3902.27,3945.355,3857.0105,3758.217,3702.3025,3685.847,3664.094,3741.22,3625.7988,3796.251,3691.485,3680.7642,3605.7722,3652.2292,3644.1384,3709.6985,3607.4543,3648.799,3655.224,3637.0813,3650.3577,3571.3394,3537.9778,3564.9104,3564.0051,3074.1133,3300.017,3398.0232,3492.1094,3401.9658,3465.5789,3524.1843,3533.9126,3594.5938,3638.4402,3578.701,3537.739,3693.0027
