region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,virgin_10d_sucrose,dm_R57C10xGC6s_190429b,sucrose,200mM,06,dm_R57C10xGC6s_190429b_06_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,6270.525,7105.9077,7691.1157,7471.6855,7556.37,7428.844,7289.77,7067.9634,6861.9365,6737.0337,6676.0776,6583.9624,6501.6294,6689.7397,6703.856,6539.934,6405.9453,6509.838,6504.0156,6728.799,6740.73,6502.447,6555.9883,6580.67,6500.6255,6535.233,6591.767,6384.4976,6489.42,6458.435,6538.1235,6559.4077,6528.9814,6431.956,6517.8916,6575.7544,6589.482,6590.674,6597.4863,6564.3022,6547.038,6512.95,6505.3022,6550.63,6549.1143,6611.975,6583.137,6521.97,6555.5654,6537.1045,6480.045,6513.132,6520.402,6439.15,6421.0947,6382.344,6334.503,6451.2944,6410.784,6055.246
2,virgin_10d_sucrose,dm_R57C10xGC6s_190429b,sucrose,200mM,06,dm_R57C10xGC6s_190429b_06_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,3224.962,3162.1545,3268.0906,3358.6372,3421.412,3387.8022,3385.6812,3343.5393,3304.2297,3275.7966,3360.6707,3222.9749,3305.9177,3344.3208,3319.5933,3371.303,3255.918,3276.168,3227.455,3370.088,3211.5002,3263.134,3297.0469,3289.691,3350.0857,3362.1553,3322.6365,3186.9575,3260.0708,3104.0479,3357.456,3303.804,3208.2825,3236.816,3229.0405,3230.9155,3226.2568,3250.1128,3231.1865,3165.3284,3186.4268,3167.899,3243.0193,3299.425,3194.233,3300.1194,3200.2874,3252.6467,3198.7314,3266.9426,3287.9883,3222.675,3280.8662,3211.8716,3260.113,3200.752,3213.4636,3244.868,3221.6184,3191.999
3,virgin_10d_sucrose,dm_R57C10xGC6s_190429b,sucrose,200mM,06,dm_R57C10xGC6s_190429b_06_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,13831.262,13819.482,12643.253,12896.966,12699.424,12397.026,13129.35,13816.941,13226.324,13615.134,13761.721,13671.966,14097.156,14703.663,13770.856,14185.475,14133.668,15178.824,15033.803,15094.874,14319.068,15010.577,15058.45,14842.433,15164.102,15628.86,14935.598,14906.797,14581.047,14905.849,15002.17,15111.085,14437.161,14680.123,14318.497,14274.537,13953.251,14392.9,14090.4,14327.773,14149.811,13946.542,14270.58,14202.975,14154.973,14418.279,14508.923,14343.037,14433.777,14574.684,14843.393,14379.32,14915.576,13977.836,14150.448,14225.548,13599.017,14068.477,13962.422,13856.38
4,virgin_10d_sucrose,dm_R57C10xGC6s_190429b,sucrose,200mM,06,dm_R57C10xGC6s_190429b_06_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,10320.395,9737.581,9636.522,9393.196,9470.709,9379.518,9714.479,9782.955,9516.588,9745.709,9884.53,9894.217,9965.843,9823.187,9660.225,10011.449,11840.476,12443.858,11518.857,10830.381,10629.616,10633.884,10984.588,10749.321,10607.434,10796.236,10781.566,10621.975,10493.612,10456.02,10847.337,10822.321,10742.195,10833.4,10896.474,11102.684,11166.584,11088.932,11154.304,11105.127,11152.596,10759.818,11319.69,11365.632,11377.1045,11554.326,11259.972,11289.27,11008.771,10994.902,10766.108,11016.475,10784.082,10895.737,10608.611,10486.556,10127.755,10225.565,10076.219,9903.141
5,virgin_10d_sucrose,dm_R57C10xGC6s_190429b,sucrose,200mM,06,dm_R57C10xGC6s_190429b_06_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,7234.9004,7701.9033,8032.6123,8069.7563,8142.873,8111.5645,8024.871,7835.22,7705.4795,7758.6357,7880.7476,8132.7295,8047.108,8116.629,8033.845,8132.1094,8136.57,8001.9844,8009.3027,7856.1406,7961.7017,7930.3823,8170.4995,8107.697,8037.8403,8043.673,7861.9985,7740.909,7831.7666,7719.101,7635.917,7711.8965,7694.4756,7616.597,7634.326,7636.1514,7681.1973,7711.8315,7667.1587,7643.3574,7562.9736,7502.3013,7545.729,7545.93,7590.1475,7677.3276,7614.392,7531.936,7582.2646,7539.1426,7455.998,7480.9634,7548.6143,7473.021,7443.6987,7187.411,7376.7617,7377.9067,7348.864,7282.254
6,virgin_10d_sucrose,dm_R57C10xGC6s_190429b,sucrose,200mM,06,dm_R57C10xGC6s_190429b_06_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,7784.47,8556.269,9011.875,9173.8,9445.104,9212.769,9342.837,9053.07,9000.343,8915.786,8912.456,9267.892,9267.482,9238.439,9260.895,9463.002,9349.067,9195.038,9038.291,9095.307,8851.705,8833.711,8978.161,9076.249,8996.107,8846.161,8859.675,8736.026,8642.289,8744.348,8423.217,8599.808,8569.267,8565.888,8290.981,8620.568,8464.602,8515.457,8753.275,8629.015,8374.626,8425.308,8392.671,8659.558,8333.401,8331.903,8458.549,8413.404,8475.139,8424.217,8443.031,8321.044,8458.816,8247.823,8468.368,8016.251,8013.328,8125.7866,8401.645,8089.923
7,virgin_10d_sucrose,dm_R57C10xGC6s_190429b,sucrose,200mM,06,dm_R57C10xGC6s_190429b_06_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,5791.9873,6319.7354,6722.3765,6924.1724,6972.529,7060.8174,6793.3267,6781.251,6619.786,6692.391,6721.804,6427.632,6575.366,6545.806,6556.6377,6473.9624,6452.0493,6470.4395,6388.862,6544.928,6558.589,6464.0312,6433.4883,6444.319,6382.8677,6441.729,6462.933,6367.5513,6371.032,6304.6196,6274.484,6389.926,6357.497,6331.82,6349.9756,6337.618,6337.767,6316.349,6389.0254,6384.172,6315.818,6225.501,6288.725,6326.8696,6426.382,6412.968,6409.5156,6333.98,6380.1147,6295.85,6352.919,6342.7466,6345.8,6347.027,6306.627,6173.825,6259.449,6282.531,6212.6406,5895.2812
8,virgin_10d_sucrose,dm_R57C10xGC6s_190429b,sucrose,200mM,06,dm_R57C10xGC6s_190429b_06_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,4583.7036,5179.0176,5529.463,5442.183,5514.3276,5437.573,5281.703,5334.833,5285.384,5133.423,5076.086,5059.589,5031.509,5040.6943,5094.006,5083.535,4910.5625,4830.329,4903.872,5176.284,5084.163,5022.786,5000.5454,5023.341,4937.3047,4999.665,4886.571,4874.8633,5030.7324,4966.1543,5065.1753,5008.703,4986.9194,4986.261,4957.861,5065.999,5034.9316,5010.0215,5038.3125,5006.9653,4996.7417,4913.7876,5005.657,4945.9414,4987.763,4951.5913,5008.8525,4973.181,4908.956,4986.0044,4848.7207,4826.9844,4857.964,4849.6855,4894.594,4963.3975,4771.092,4786.8267,4834.457,4612.3457
9,virgin_10d_sucrose,dm_R57C10xGC6s_190429b,sucrose,200mM,06,dm_R57C10xGC6s_190429b_06_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,4140.51,4468.843,4841.8433,4960.949,4985.5146,4800.198,4663.187,4468.126,4347.188,4403.0366,4492.376,4563.8916,4676.84,4704.565,4626.939,5015.2417,5005.682,4810.8657,4571.3433,4680.3735,4457.7993,4594.768,4710.078,4636.9014,4572.3887,4478.7407,4391.576,4213.854,4161.477,4066.5657,4197.5176,4210.0435,4115.163,4095.1821,4092.239,4038.158,4063.0093,4063.3794,4058.3389,4061.9128,3991.9648,3877.7163,4005.4343,3976.5632,4039.5452,4091.074,3970.6726,3909.5093,3974.3367,3916.3884,3987.0454,3989.7573,3964.8833,3984.7124,3954.4285,3890.254,4021.058,3987.3103,3916.185,3957.392
10,virgin_10d_sucrose,dm_R57C10xGC6s_190429b,sucrose,200mM,06,dm_R57C10xGC6s_190429b_06_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,3529.823,3394.097,3500.2676,3328.1255,3407.0605,3293.0386,3419.5762,3443.508,3307.4128,3410.911,3441.5315,3508.2866,3441.2236,3587.0354,3493.959,3828.5051,3964.1492,4046.6077,3888.6619,3723.2373,3592.3562,3635.0999,3760.639,3621.3452,3670.7944,3642.6934,3547.3948,3424.8135,3458.73,3442.6904,3630.5708,3599.9062,3564.8948,3592.465,3615.828,3570.088,3621.4963,3593.9165,3654.6667,3600.93,3554.1309,3465.7524,3674.4714,3685.2375,3736.3086,3680.1355,3566.893,3437.1558,3426.3455,3461.3025,3514.016,3541.0789,3507.507,3470.7952,3494.9595,3562.5405,3595.4758,3545.6965,3627.2966,3659.6025
11,virgin_10d_sucrose,dm_R57C10xGC6s_190429b,sucrose,200mM,06,dm_R57C10xGC6s_190429b_06_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,6457.2646,6513.6763,6419.7446,6704.9062,6790.8936,6816.671,6927.628,6814.7896,6750.1245,6819.4893,6930.669,6796.1133,6960.975,6960.622,6856.0913,7012.33,7550.115,8115.4434,7759.7017,7734.8394,7367.9136,7304.3774,7515.16,7369.082,7414.5137,7355.861,7233.1206,7006.7495,7047.1113,6879.471,7131.801,7114.8184,7085.016,7105.9434,7044.185,7072.611,7151.6255,7072.063,7081.485,7048.411,6889.036,6822.152,6968.719,6952.113,7094.628,7104.477,6994.5376,6863.578,6791.992,6827.294,6767.984,6818.216,6852.021,6880.496,6786.478,6684.813,6793.943,6748.59,6628.369,6621.2866
12,virgin_10d_sucrose,dm_R57C10xGC6s_190429b,sucrose,200mM,06,dm_R57C10xGC6s_190429b_06_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,4190.72,4629.7314,4812.24,4783.784,4830.676,4552.509,4408.786,4347.097,4246.561,4067.4553,4014.3762,4052.5703,3997.6099,4079.9663,3992.655,3961.3796,3878.4998,3940.5955,3925.7546,4211.429,4023.3464,3960.9348,4076.5493,3973.5078,3935.791,3923.9028,3868.5066,3803.6543,3884.6619,3782.9426,3890.1096,3900.3618,3882.4382,3882.7568,3836.7441,3840.1194,3824.8345,3858.1492,3866.305,3801.8213,3708.1018,3682.9194,3723.212,3737.3987,3766.9746,3812.5144,3745.5564,3660.0764,3685.473,3708.1482,3640.5134,3734.8042,3687.613,3713.0781,3663.9453,3555.312,3695.751,3674.2368,3608.3992,3656.707
13,virgin_10d_sucrose,dm_R57C10xGC6s_190429b,sucrose,200mM,06,dm_R57C10xGC6s_190429b_06_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,4343.8047,4512.5327,4421.215,4416.4136,4585.024,4138.23,4199.558,4200.737,4119.9414,4146.4976,4095.8938,4353.3506,4103.852,4038.5574,4143.528,4100.808,4048.3523,4219.402,4196.7246,4099.4185,4345.4243,4390.186,4231.0156,4257.0317,4075.5786,4238.4297,4273.4995,4106.1133,4681.625,4192.3833,4515.3384,4477.5376,4498.4355,4437.592,4529.8994,4541.7285,4468.8486,4404.9453,4414.5854,4658.1606,4716.4707,4428.405,4333.4517,4451.505,4683.239,4600.7334,4876.4814,4815.0728,4562.8623,4622.322,4520.142,4513.505,4437.6406,4696.1616,4615.113,4535.3022,4510.8916,4342.9897,4441.177,4386.01
14,virgin_10d_sucrose,dm_R57C10xGC6s_190429b,sucrose,200mM,06,dm_R57C10xGC6s_190429b_06_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,13064.122,11929.699,11686.675,11643.932,11627.674,11706.199,11925.165,11877.963,11437.694,11808.352,11754.34,12104.093,12207.869,12169.791,12016.954,12385.322,13934.034,14904.5,14139.946,13640.468,13344.9795,13362.2295,13772.364,13438.641,13325.619,13720.388,13238.822,13019.666,13077.71,13190.174,13429.42,13255.38,13184.674,13208.157,13156.052,13709.55,13822.996,13821.553,13697.429,13541.628,13541.344,13260.619,13770.196,13872.656,13639.173,14103.33,13888.727,13774.533,13613.829,13643.042,13680.826,13326.313,13390.407,13326.206,13035.256,12936.913,12801.228,12342.567,12660.761,12153.383
