region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,virgin_10d_sucrose,dm_R57C10xGC6s_190503b,nostim,NA,01,dm_R57C10xGC6s_190503b_01_nostim_SEZ_volreg_transfor_gauss.nii,8572.262,9181.869,9192.175,9117.815,9321.701,9268.56,9289.624,9363.377,9176.307,9534.441,9714.15,9807.806,9621.413,9313.848,9263.64,9553.57,9710.085,9603.131,9309.375,9267.108,9142.609,9218.192,9190.8545,9608.583,9113.372,9433.671,9647.329,9648.932,9493.937,9259.014,9272.785,9234.021,8872.314,8715.984,8642.9375,8862.885,8938.467,8742.097,8726.701,8594.602,8484.112,8730.977,8668.135,9180.413,9372.589,9051.22,9307.922,9173.751,9123.973,8880.242,9009.322,8825.39,8636.211,8676.997,8601.697,8715.293,8327.711,8132.2134,8354.352,8798.6045
2,virgin_10d_sucrose,dm_R57C10xGC6s_190503b,nostim,NA,01,dm_R57C10xGC6s_190503b_01_nostim_SEZ_volreg_transfor_gauss.nii,4778.041,5268.0625,5356.633,5273.8833,5382.7397,5315.8945,5586.0566,5540.0215,5405.4736,5588.536,5512.63,5376.13,5076.5522,5489.3486,5180.7896,5363.0864,5405.759,5392.3174,5404.0947,5628.433,5655.536,5388.2993,5574.4683,5612.5967,5652.8955,5471.7676,5357.518,5329.2495,5462.829,5388.03,5191.6846,5233.2246,5208.069,5254.161,5065.3955,5457.7817,5248.221,5233.4473,5362.0283,5412.7393,5311.513,5421.0205,5632.4424,5439.6616,5528.655,5448.385,5179.9995,5112.4893,5129.7188,5150.522,5191.837,5391.637,4971.065,5046.588,5461.9497,5445.722,5448.486,5617.6533,5483.0933,5512.223
3,virgin_10d_sucrose,dm_R57C10xGC6s_190503b,nostim,NA,01,dm_R57C10xGC6s_190503b_01_nostim_SEZ_volreg_transfor_gauss.nii,16682.162,15268.31,15050.442,13236.488,12949.847,13337.325,14813.774,13894.769,13302.233,13613.853,13292.815,13578.449,13108.534,15029.897,16691.65,16612.043,16606.135,15914.255,15942.232,16169.726,15180.627,15676.983,15475.66,17504.037,15782.585,16924.67,16565.076,17501.61,15054.896,16814.098,15198.882,14781.858,13446.585,14275.113,14011.176,13286.248,13225.683,12938.376,13133.092,12725.171,12843.053,13530.53,13148.596,13583.45,13307.003,13929.513,13117.993,13530.187,12829.94,13829.039,14327.377,13043.984,13018.849,13739.126,14147.723,15187.108,14230.268,14198.942,13958.638,13647.425
4,virgin_10d_sucrose,dm_R57C10xGC6s_190503b,nostim,NA,01,dm_R57C10xGC6s_190503b_01_nostim_SEZ_volreg_transfor_gauss.nii,15025.404,14432.658,13939.102,13093.815,12909.728,13069.744,14101.239,13815.204,12980.292,13051.147,12770.7295,13023.144,12811.924,14251.958,14481.591,14241.148,14896.961,14070.645,15023.294,15141.5,14691.57,13915.371,13876.6045,15345.195,14390.593,15277.586,15341.601,14505.187,14193.621,14675.145,13913.856,13570.989,13416.684,13201.771,12862.131,12765.372,12865.36,12472.612,12324.592,12524.15,12232.952,12119.703,12201.672,12457.841,12558.66,12527.422,12359.8125,12394.163,12598.436,12611.609,12605.95,12568.092,12307.156,12212.148,12882.76,13948.447,12942.888,12621.713,12501.371,12630.668
5,virgin_10d_sucrose,dm_R57C10xGC6s_190503b,nostim,NA,01,dm_R57C10xGC6s_190503b_01_nostim_SEZ_volreg_transfor_gauss.nii,12822.074,13208.163,13214.326,13161.588,13483.894,13320.8125,13709.309,13409.953,13493.49,13642.268,13646.279,13429.024,13253.071,13516.2705,13112.568,13536.97,13643.745,13277.623,13186.159,13300.062,13079.66,13040.846,13222.217,13403.54,13334.354,13335.596,13564.023,13251.3,13166.154,12996.786,12896.048,13141.928,13070.826,12766.442,12588.065,12705.143,12587.061,12496.802,12554.219,12590.993,12648.645,12610.999,12801.37,12914.612,13277.01,13466.223,13361.043,12953.033,12788.468,12627.31,12866.003,12592.31,12576.385,12457.544,12630.574,12467.145,12306.824,12245.501,12399.756,13000.079
6,virgin_10d_sucrose,dm_R57C10xGC6s_190503b,nostim,NA,01,dm_R57C10xGC6s_190503b_01_nostim_SEZ_volreg_transfor_gauss.nii,13959.4375,14910.928,15732.658,15504.341,16259.953,15982.095,15981.155,15654.612,15149.163,15657.428,15459.172,15649.41,14788.733,14604.512,14835.047,14477.628,15099.509,15331.965,15125.668,14333.782,14376.896,14357.492,14116.049,15184.647,14457.47,15192.542,15240.495,15146.736,14875.985,14631.22,14771.697,15092.829,14880.111,14511.246,13841.961,14297.144,14146.456,14141.671,13559.21,14063.153,13746.884,13554.643,13580.079,14554.034,15301.899,15889.262,15399.719,15339.506,14969.955,14547.623,14744.606,14276.568,14014.658,13881.256,13502.67,14282.105,13575.023,13774.261,14170.333,15134.872
7,virgin_10d_sucrose,dm_R57C10xGC6s_190503b,nostim,NA,01,dm_R57C10xGC6s_190503b_01_nostim_SEZ_volreg_transfor_gauss.nii,9459.711,10280.205,10707.007,10806.451,10903.786,10953.441,10962.443,10723.017,10632.853,10623.307,10755.022,10644.169,10481.561,10391.099,10196.526,10241.469,10459.561,10586.899,10547.886,10325.463,10348.749,10168.783,9924.461,10505.004,9870.834,10399.64,10543.792,10450.322,10275.951,10252.457,10174.618,10456.601,10295.9375,10153.099,9807.109,9778.391,9817.536,9537.02,9628.828,9640.358,9403.4,9299.506,9266.859,9909.647,10165.287,10398.809,10472.021,10179.863,9986.684,10010.201,10057.239,9948.229,9529.465,9581.813,9558.3,9548.286,9338.61,9232.31,9629.444,10000.304
8,virgin_10d_sucrose,dm_R57C10xGC6s_190503b,nostim,NA,01,dm_R57C10xGC6s_190503b_01_nostim_SEZ_volreg_transfor_gauss.nii,10132.96,10702.899,10598.474,10652.908,10784.162,10807.308,11282.552,11050.154,10636.591,10903.834,10933.54,10851.667,10528.616,10727.429,10899.13,10722.727,10985.677,10869.309,10945.807,10818.486,10424.903,10743.227,10653.84,10914.855,10288.312,10817.0205,11159.121,10846.75,10653.87,10711.12,10634.06,10453.021,10540.811,10607.46,10352.349,10211.541,10360.512,10471.783,10141.544,10432.709,10102.501,10282.502,10139.711,10567.869,10477.131,10540.45,10539.003,10706.898,10636.645,10752.473,10685.914,10669.519,10498.697,10336.374,10119.874,10656.499,10082.666,10508.111,10337.764,10477.467
9,virgin_10d_sucrose,dm_R57C10xGC6s_190503b,nostim,NA,01,dm_R57C10xGC6s_190503b_01_nostim_SEZ_volreg_transfor_gauss.nii,7407.747,8082.012,8312.498,8251.798,8318.846,8255.168,8432.388,8247.864,8375.259,8633.16,8413.671,8133.446,7753.8076,7902.657,7557.4644,7889.9927,8233.789,8185.876,7855.798,7941.409,7814.264,7494.172,7673.9106,8233.401,8134.0356,8285.548,8274.55,7744.292,7652.487,7516.0996,7643.472,7911.2793,7529.1963,7364.7334,7319.853,7466.6016,7392.5195,7299.7617,7239.2876,7251.6216,7193.1753,7270.7876,7536.861,7939.0615,8378.299,8323.573,8058.735,7484.91,7291.74,7273.0493,7459.663,7405.2847,7162.7607,7058.7676,7394.714,7293.4956,7417.218,7397.023,7558.0254,8050.4297
10,virgin_10d_sucrose,dm_R57C10xGC6s_190503b,nostim,NA,01,dm_R57C10xGC6s_190503b_01_nostim_SEZ_volreg_transfor_gauss.nii,10260.318,10684.243,10730.42,10517.427,10621.474,10458.29,12021.92,11399.481,10837.464,11784.669,11236.518,11292.006,11241.086,10343.578,11154.749,10810.987,11388.251,11842.867,12087.355,10724.894,10837.358,10836.1,10537.056,11625.698,11043.027,11832.029,11456.488,11311.032,11376.41,11273.84,11486.851,11337.045,11065.343,10908.958,10384.788,10854.664,10937.184,11087.8,10139.363,10221.668,9918.408,9961.424,10406.759,11875.014,11279.82,11141.793,10693.415,11006.916,11101.381,11246.209,11136.434,10785.425,10310.561,11359.106,10149.905,11062.809,10568.682,11001.884,11204.489,11051.151
11,virgin_10d_sucrose,dm_R57C10xGC6s_190503b,nostim,NA,01,dm_R57C10xGC6s_190503b_01_nostim_SEZ_volreg_transfor_gauss.nii,9962.961,10062.574,10323.535,10091.925,10251.397,10204.146,10701.51,10690.621,10285.286,10665.874,10507.263,10408.269,10328.726,10804.646,10733.232,10717.177,10980.36,10702.419,10891.022,11018.327,10920.666,10699.745,10577.625,11191.486,10646.077,11073.6875,10859.658,10567.728,10565.507,10666.781,10240.849,10395.257,10130.491,10273.847,9815.052,10080.303,10132.528,9811.185,9699.927,9832.349,9847.52,9489.647,9670.513,9806.436,10011.445,9922.363,9783.976,9844.93,9729.852,9771.495,9792.569,9722.115,9369.554,9415.098,9834.977,10143.086,9721.8545,9552.235,9717.847,9761.231
12,virgin_10d_sucrose,dm_R57C10xGC6s_190503b,nostim,NA,01,dm_R57C10xGC6s_190503b_01_nostim_SEZ_volreg_transfor_gauss.nii,6163.1577,6793.0176,6834.2217,6773.987,6798.408,6724.871,7103.5254,6757.6724,6991.509,7057.664,7086.6367,6988.054,7113.145,6798.56,6605.766,7106.0605,7189.71,7133.4272,7077.8076,6771.636,6644.1567,6457.68,6602.4165,6969.0674,6775.329,7294.3257,7418.5664,6995.785,6728.902,6623.85,7048.556,7032.9375,6667.408,6289.137,6350.387,6494.5444,6284.477,6305.57,6345.8374,6258.4727,6267.293,6361.759,6536.9688,6886.075,7009.012,7117.1523,6949.6475,6592.7866,6411.5483,6378.507,6548.6665,6429.2563,6360.4165,6292.7217,6364.0845,6245.4395,6187.484,6146.1963,6395.14,6859.9517
13,virgin_10d_sucrose,dm_R57C10xGC6s_190503b,nostim,NA,01,dm_R57C10xGC6s_190503b_01_nostim_SEZ_volreg_transfor_gauss.nii,4084.9514,4546.1343,4704.781,4334.45,4668.523,4271.2334,4366.7217,4240.629,4334.155,4152.2734,4381.4272,4402.229,4521.8564,3916.885,4099.283,4282.7163,4357.774,4410.6655,4327.6646,3977.947,4151.3584,4073.5613,4302.3916,4116.562,4124.432,4248.999,4303.231,4466.1035,4428.178,4355.731,4276.415,4191.7725,4216.9385,4419.8726,4270.606,4434.716,4359.2407,4351.89,4232.209,4266.649,3995.146,4206.5854,4325.236,4487.498,4527.298,4513.523,4442.436,4295.185,4242.8794,4339.591,4335.4336,4197.2046,4115.3486,4290.8237,3928.5793,3978.2136,4047.0464,4345.5215,4328.136,4202.8716
14,virgin_10d_sucrose,dm_R57C10xGC6s_190503b,nostim,NA,01,dm_R57C10xGC6s_190503b_01_nostim_SEZ_volreg_transfor_gauss.nii,13788.451,13048.284,12960.428,12312.062,12318.496,12327.704,12791.481,12637.288,11955.757,12107.318,12269.794,12248.11,12360.402,12884.622,13250.841,13046.792,13397.789,13114.152,13064.355,13618.403,13309.464,13154.176,13194.163,14004.558,13250.266,13575.316,13574.38,13131.312,13488.199,13050.134,12795.307,12849.09,12477.924,12207.823,11994.569,11853.241,11823.56,11761.46,11514.493,11690.204,11301.237,11596.197,11677.272,11864.466,12015.864,11945.531,11647.886,11575.288,11707.383,11438.454,11894.516,11852.878,11616.043,11381.958,11986.625,11941.661,11569.832,11450.959,11623.225,11462.958
15,virgin_10d_sucrose,dm_R57C10xGC6s_190503b,nostim,NA,01,dm_R57C10xGC6s_190503b_01_nostim_SEZ_volreg_transfor_gauss.nii,5865.695,6717.996,6431.7183,6155.3496,6045.695,6232.5776,6112.735,5902.627,5964.8984,5935.981,5917.029,6013.8105,6062.094,5875.394,5966.9688,5941.793,6047.0166,6201.071,6272.0225,5807.218,5764.6294,5807.4824,6010.31,6149.6733,5874.606,6315.982,6076.2915,6121.7,6046.0693,6005.6567,5924.1826,6269.108,5876.5664,5869.9624,5736.6714,6111.855,5950.787,5673.544,6232.2495,5851.721,5335.911,5832.22,5877.8027,6353.761,6311.1772,6315.8745,6068.6245,6011.6655,5895.4604,5695.377,6033.1846,6178.426,6014.3013,5619.535,5613.348,5909.855,6083.6973,5985.8213,6121.7085,6252.4346
16,virgin_10d_sucrose,dm_R57C10xGC6s_190503b,nostim,NA,01,dm_R57C10xGC6s_190503b_01_nostim_SEZ_volreg_transfor_gauss.nii,12971.926,12550.998,12049.209,11584.795,11388.534,11322.125,11396.709,11445.0625,11168.127,11411.379,11685.455,11803.936,11568.568,11701.16,11817.11,12151.264,12511.062,12371.946,12321.316,12362.523,12388.489,12333.1,12366.946,12906.928,12506.088,12958.747,13048.58,12945.712,12672.305,12450.862,12208.878,12220.606,11946.574,11816.363,11342.524,11106.952,11150.504,10931.859,10903.399,10911.049,10584.41,10918.215,10859.325,11189.727,11252.927,11354.751,11342.758,11188.249,11196.335,11011.196,11060.93,11174.144,10877.274,10815.769,10803.726,10848.683,10702.333,10651.738,10696.458,10969.795
17,virgin_10d_sucrose,dm_R57C10xGC6s_190503b,nostim,NA,01,dm_R57C10xGC6s_190503b_01_nostim_SEZ_volreg_transfor_gauss.nii,6236.8203,6095.11,6059.6836,5846.5757,5859.021,5696.47,6709.407,6306.9077,6040.7397,5947.33,5937.891,5823.9404,6066.2837,7182.8423,7365.817,7210.058,7839.967,7021.393,7735.9253,8314.053,7771.3936,6854.7134,6341.223,8131.323,7153.1133,7980.031,8144.376,7073.83,6492.1577,7387.111,6519.3613,6293.8926,5888.0376,6022.443,5754.5483,5823.119,5882.0664,5758.8784,5814.698,5783.201,5579.2915,5587.8564,5738.986,5714.773,5884.521,5761.6743,5560.377,5562.9185,5621.9473,5600.4766,5774.1978,5606.6123,5578.946,5494.731,6324.395,7281.68,6584.335,5903.018,6018.046,5977.5415
