region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,virgin_10d_sucrose,dm_R57C10xGC6s_190508b,h2o,NA,02,dm_R57C10xGC6s_190508b_02_h2o_SEZ_volreg_transfor_gauss.nii,9692.799,9974.928,9477.459,9132.306,9439.163,9299.268,9335.243,8917.071,9201.631,9150.708,9901.828,10399.903,10372.696,10412.158,9974.146,10303.958,10269.841,10199.55,10125.207,9998.321,9958.993,10097.788,9963.799,9855.236,9675.501,9997.197,9996.974,9861.876,9774.081,9795.563,9931.017,10063.74,9948.099,9797.548,10063.06,10040.151,10075.386,9872.103,10072.962,10195.009,10079.614,10071.048,9672.428,10072.886,10213.372,10172.78,10104.309,9759.887,9984.355,10056.666,9880.815,10189.233,10165.356,10192.377,10046.263,9955.518,9812.47,9789.467,9722.109,9855.554
2,virgin_10d_sucrose,dm_R57C10xGC6s_190508b,h2o,NA,02,dm_R57C10xGC6s_190508b_02_h2o_SEZ_volreg_transfor_gauss.nii,10125.338,10704.673,10477.879,12473.842,12507.36,12900.242,12541.025,12331.865,13666.396,13660.004,13484.471,12868.041,12484.935,12158.6875,12402.186,12091.164,11901.204,11651.123,11603.483,11312.34,11266.681,11610.297,11222.519,11069.37,11817.569,11606.683,11303.113,10920.543,10623.463,10727.488,10990.932,10758.02,9745.462,10709.925,11136.694,10718.138,10754.358,10769.98,10632.83,10620.297,10697.607,10430.192,11034.417,13251.184,12758.412,12471.896,12273.371,12491.07,12541.963,11943.535,11952.953,13165.641,12432.534,12105.821,12170.709,12078.517,11952.507,11908.268,12193.997,11889.523
3,virgin_10d_sucrose,dm_R57C10xGC6s_190508b,h2o,NA,02,dm_R57C10xGC6s_190508b_02_h2o_SEZ_volreg_transfor_gauss.nii,12514.932,12256.208,12655.476,12039.373,12126.926,11966.851,12477.083,12046.185,11132.428,11603.733,12762.848,14619.867,14585.984,14027.186,12886.758,14177.299,13430.632,13343.712,13250.031,13353.489,13126.4375,13935.017,13146.663,13166.554,12795.688,13403.309,12834.841,12966.085,13361.279,12915.193,13154.273,13217.452,13619.731,13390.952,14155.871,13437.781,13477.309,13489.717,13411.252,13468.885,13078.517,13622.567,12232.807,13124.621,13476.875,13656.534,13422.221,13165.712,13153.918,12968.749,13170.583,13604.425,14281.679,13415.77,13652.063,13607.099,13228.079,12205.931,11692.7705,11846.286
4,virgin_10d_sucrose,dm_R57C10xGC6s_190508b,h2o,NA,02,dm_R57C10xGC6s_190508b_02_h2o_SEZ_volreg_transfor_gauss.nii,13856.486,13842.643,13360.636,13472.789,13511.184,14511.757,14020.783,13711.555,13958.49,13998.259,15655.634,20031.023,20755.889,19629.049,19001.2,18676.123,18288.504,17897.162,18005.424,17386.111,17864.818,17972.986,18402.828,17926.943,17433.752,17590.625,17506.488,17509.225,17313.146,17168.383,17122.46,17377.314,17792.549,17318.441,17753.871,17805.78,17965.785,17858.557,17928.09,17691.69,17785.201,17412.465,16113.146,15645.724,15317.815,14876.504,14792.082,14538.924,14009.451,14069.839,14032.437,13987.752,14181.103,14441.315,13956.355,13976.751,14232.953,13973.904,13473.403,13417.729
5,virgin_10d_sucrose,dm_R57C10xGC6s_190508b,h2o,NA,02,dm_R57C10xGC6s_190508b_02_h2o_SEZ_volreg_transfor_gauss.nii,16259.028,16185.706,14743.52,14375.652,14412.132,14931.745,14830.199,12818.003,13304.605,14428.165,17897.316,18421.385,18199.773,17937.83,17708.707,17576.469,17136.768,16906.828,16763.033,16651.227,18314.014,19005.646,18606.805,18238.361,18103.592,18278.777,17842.941,17475.129,17265.275,17166.275,17276.21,16949.69,16144.557,16084.84,16675.084,16374.034,16060.691,16028.184,16339.771,16224.9,16103.916,16004.942,14514.474,15902.713,15881.006,16134.423,15988.622,15934.062,15571.857,15862.247,14892.06,15612.048,15830.919,15854.392,15721.398,15298.075,15452.626,15186.625,15108.102,15233.852
6,virgin_10d_sucrose,dm_R57C10xGC6s_190508b,h2o,NA,02,dm_R57C10xGC6s_190508b_02_h2o_SEZ_volreg_transfor_gauss.nii,16311.7,17154.525,16838.951,15696.748,15981.79,16454.482,17275.002,16871.105,16461.963,17305.967,20506.62,22593.37,22786.98,23049.51,22795.482,22725.67,21911.814,21765.006,21502.352,21564.592,22436.568,22859.674,22550.826,21772.83,21388.053,22667.9,21860.309,21478.496,20609.229,20406.326,20767.557,20226.777,20536.766,19401.752,20451.934,19768.242,19762.705,19345.604,19193.178,19880.676,19069.586,19803.246,18308.52,20763.51,21261.572,21080.918,20390.256,20630.596,20565.025,20257.14,18125.213,19274.08,19703.238,18907.953,19147.334,18831.0,18966.754,18904.977,18778.213,19153.26
7,virgin_10d_sucrose,dm_R57C10xGC6s_190508b,h2o,NA,02,dm_R57C10xGC6s_190508b_02_h2o_SEZ_volreg_transfor_gauss.nii,9227.271,9611.244,9188.599,9095.061,9032.446,9151.091,9131.414,8834.541,8893.413,9192.228,10066.815,11341.136,11266.052,11059.043,10620.176,10831.846,10538.735,10440.109,10542.762,10556.49,11033.357,11214.734,10986.905,10810.367,10612.636,10606.72,10705.368,10519.422,10368.173,10368.316,10406.025,10653.659,10686.927,10307.6875,10563.901,10432.311,10410.173,10254.985,10228.711,10429.628,10061.781,10295.676,10005.254,10208.858,10236.61,10120.548,10221.24,9840.996,9900.838,9935.941,9489.795,9865.868,9828.878,9867.58,9867.701,9725.444,9693.399,9537.014,9535.654,9500.171
8,virgin_10d_sucrose,dm_R57C10xGC6s_190508b,h2o,NA,02,dm_R57C10xGC6s_190508b_02_h2o_SEZ_volreg_transfor_gauss.nii,9487.085,9717.822,9823.724,10009.337,10335.899,10152.297,10048.795,10133.029,10095.953,10097.3955,9922.487,10159.568,9866.198,9852.52,9738.406,9975.001,10027.528,9972.606,9748.968,9583.644,9597.561,9720.271,9586.135,9687.472,9763.521,9654.217,9702.912,9859.003,9863.704,9813.3125,9740.871,9706.018,9463.159,9721.563,9751.305,9575.231,9767.989,9411.426,9579.81,9499.822,9380.7,9332.435,9479.137,9728.784,9621.583,9752.27,9924.343,9691.956,9792.687,9523.63,9671.835,9671.691,9635.094,9708.809,9854.687,10080.044,9947.856,9684.58,9774.452,9772.538
9,virgin_10d_sucrose,dm_R57C10xGC6s_190508b,h2o,NA,02,dm_R57C10xGC6s_190508b_02_h2o_SEZ_volreg_transfor_gauss.nii,13252.939,14231.86,14188.388,14711.758,14644.076,15211.188,15159.227,14507.524,15274.701,15865.201,18878.398,19269.305,18573.7,18487.137,18999.4,18325.941,17459.08,17422.59,17799.111,17380.482,19436.443,19400.674,18249.979,18186.229,18770.086,18815.414,17930.91,17715.955,16742.283,16673.055,17223.295,16630.703,15417.897,15997.472,16472.47,15854.591,15536.203,15941.364,15552.076,15672.165,15658.551,15590.4795,18311.992,21470.174,21855.322,21564.537,21361.533,21787.715,20996.844,20486.957,19217.875,20153.291,19849.322,19029.594,19469.273,19504.314,19183.701,19259.674,19145.57,18991.234
10,virgin_10d_sucrose,dm_R57C10xGC6s_190508b,h2o,NA,02,dm_R57C10xGC6s_190508b_02_h2o_SEZ_volreg_transfor_gauss.nii,5174.527,5505.6934,5564.0684,5162.3687,5324.2544,5512.6597,5591.683,5538.6396,5302.592,5347.257,6317.7974,6519.378,6401.483,6370.2773,6124.1816,6205.9224,6069.732,6010.171,5756.87,5952.901,6393.775,6380.988,6190.67,6086.4663,5476.8237,5801.2344,5919.1187,5677.0947,5607.202,5779.9863,5959.9277,5837.2476,5779.4014,5500.0425,5567.674,5697.0527,5521.588,5653.6665,5751.698,5750.918,5762.046,5737.11,5250.6333,5720.017,6023.8887,6234.363,6228.063,6282.5874,6262.631,6273.4907,5525.9854,5504.0786,6119.568,6199.8794,6247.2197,6171.2363,6157.9624,6366.909,6289.9233,6195.482
