region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,virgin_ff,dm_R57C108xGC6s_190528b,sucrose,200mM,03,dm_R57C108xGC6s_190528b_03_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,3613.782,4360.101,4047.4492,4032.3003,4098.956,4122.521,3941.0388,4176.0557,4066.2786,4170.1157,4251.43,4208.59,5894.5215,4166.632,4510.087,4555.1846,4326.0728,4115.2236,4049.5889,4010.0469,4263.81,4278.388,4241.452,4480.6963,4466.9253,4142.743,4378.2456,4931.43,4959.555,5353.803,4614.9727,4422.5225,4321.291,3848.6013,4316.895,3908.5994,4104.6904,4231.8843,4387.406,4231.403,4054.166,4214.111,4214.724,4044.0051,4233.9307,4000.1726,4282.6714,4262.7363,4211.521,4205.1836,3912.6248,3745.7463,3922.0403,4030.0686,4278.26,4438.6445,4241.628,4108.202,4142.6724,4180.0854
2,virgin_ff,dm_R57C108xGC6s_190528b,sucrose,200mM,03,dm_R57C108xGC6s_190528b_03_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,2497.767,2780.2253,2784.322,2773.6033,2770.5576,2686.5193,2883.8643,2855.9976,2883.8418,2687.8513,2845.1448,2868.1064,3492.639,2921.7634,2793.8762,3107.8777,2723.741,2919.5798,2734.2344,2911.6921,2956.5068,2873.5464,2854.326,2805.505,2905.436,2768.1704,2988.043,2836.649,2744.8823,2954.422,2898.7136,2658.896,2892.9543,2806.9553,2716.0034,2744.1462,2901.6594,2674.3127,2711.0317,2848.481,2731.0596,2769.931,2780.622,2775.968,2755.6543,2791.0784,2683.2917,2684.1428,2793.92,2707.3079,2709.8252,2665.2961,2731.1548,2890.2476,2736.3828,2685.6917,2806.0894,2750.1064,2743.0706,2642.3044
3,virgin_ff,dm_R57C108xGC6s_190528b,sucrose,200mM,03,dm_R57C108xGC6s_190528b_03_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,5159.643,5027.2466,5542.389,5598.6084,5951.232,5680.4126,7027.8345,6451.437,5992.6304,6079.849,5597.921,7133.1465,7649.402,7059.3066,6704.116,7260.734,6416.6406,6170.387,6187.995,6536.843,6571.0195,6752.6445,7032.7285,6775.886,7200.1665,6219.9976,6956.9995,7600.7646,7099.029,7506.7583,5669.581,6835.744,6336.0674,6458.5146,5984.088,5392.2144,6272.3677,6385.238,5944.2676,5561.902,5515.1626,5828.4116,6133.766,5939.082,6281.575,5793.4097,6226.9233,6469.4644,6349.826,5891.159,6471.7544,5798.45,5571.279,5991.763,5781.975,5833.862,5822.68,5644.827,5860.59,5873.7627
4,virgin_ff,dm_R57C108xGC6s_190528b,sucrose,200mM,03,dm_R57C108xGC6s_190528b_03_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,4847.0244,5136.977,5030.1206,5058.3364,5273.6626,5064.3647,5037.541,4930.3887,5039.0327,5031.073,5453.9795,6617.4697,6405.6865,6303.339,6767.6265,6780.375,5520.684,5579.613,5313.691,5405.989,5708.125,6778.3936,6711.3516,6571.483,6666.95,6547.7266,6589.3164,6344.157,6392.436,6405.0854,6186.842,6012.9805,5970.6196,5863.509,6013.8,5941.002,5830.1436,5484.037,5728.9175,5680.083,5510.553,5298.8643,5537.589,5413.4727,5460.8735,5462.8745,5682.3047,5430.0693,5682.3677,5625.3804,5424.621,5505.686,5570.065,5476.98,5518.001,5577.1006,5489.5903,5375.389,5366.203,5347.7197
5,virgin_ff,dm_R57C108xGC6s_190528b,sucrose,200mM,03,dm_R57C108xGC6s_190528b_03_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,5627.331,6269.4062,6191.1333,6056.6494,6066.265,5866.601,5772.118,5794.1494,5923.2373,5910.787,5982.753,5992.5024,6591.63,6515.7485,6930.515,6795.606,6386.013,6377.007,5932.1484,5874.538,6652.8823,6475.549,6543.1704,6771.6113,6889.5386,6290.7793,6963.4136,6837.839,6948.08,6489.454,6485.8247,6335.1157,6341.552,6209.794,6254.842,6275.1343,6105.735,5880.3403,6066.8857,6095.479,5873.1245,5827.5273,5923.6274,5844.937,5713.0317,5873.43,6016.558,5841.5737,6051.2188,5905.6235,5738.017,5561.7354,5583.9214,5899.556,5842.4243,5928.229,6073.832,5766.2783,5881.475,5748.9473
6,virgin_ff,dm_R57C108xGC6s_190528b,sucrose,200mM,03,dm_R57C108xGC6s_190528b_03_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,5526.5293,6230.909,6059.6973,6388.244,6249.376,5998.424,5739.5474,5683.017,5927.3877,5770.122,6105.0923,5742.746,5184.6255,6345.5024,6602.3037,6772.784,6449.6284,6365.658,6035.936,6190.9146,6663.769,6243.831,6345.9453,6339.3086,6731.5723,6471.445,6856.7993,6709.9873,6933.1934,6724.4556,6553.699,6399.5596,6568.2705,6514.6953,6102.975,6445.759,6375.336,6008.671,6248.2607,6418.5176,6108.969,6039.476,5942.383,6176.9546,5932.625,6184.6895,6401.261,6522.053,6174.229,5988.4536,6016.167,5650.05,5741.77,5990.6284,6071.31,6275.404,6338.8203,5786.508,6116.1646,6003.236
7,virgin_ff,dm_R57C108xGC6s_190528b,sucrose,200mM,03,dm_R57C108xGC6s_190528b_03_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,4332.595,4962.0986,4967.0366,5188.127,5068.3125,5078.4985,4726.265,4618.1,4833.022,4716.525,4706.0566,4597.81,6291.953,4731.7188,5074.6333,5151.2373,5277.5913,5219.895,5118.796,4464.7515,4997.0747,4695.871,4778.1978,5077.8364,5182.439,5098.0933,5245.7437,5074.0396,5288.8022,5362.0,5142.319,5044.096,5023.613,4912.7285,5097.476,4943.44,4968.6055,4990.4194,5207.6313,5185.6616,5070.662,5055.474,5011.139,4909.109,5079.541,5002.5757,5165.2036,5071.492,4814.1978,4825.0186,4431.224,4462.7446,4616.935,4726.679,4797.3267,4906.1685,5155.501,4902.813,4890.8013,4707.1494
8,virgin_ff,dm_R57C108xGC6s_190528b,sucrose,200mM,03,dm_R57C108xGC6s_190528b_03_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,3356.3596,3826.5295,3536.7793,3453.9653,3622.3467,3617.9983,3791.3186,3835.6829,3718.5786,3832.2788,3959.3784,3952.2349,4834.377,3961.4177,4115.3477,4098.364,3759.9565,3695.8416,3723.8262,3643.9185,3937.594,4047.3152,4148.09,4270.0327,4054.3909,3905.08,3823.4355,3929.559,3766.8193,3910.4646,3798.6377,3835.2966,3770.0886,3734.272,3718.0793,3679.5525,3845.208,3840.221,3907.295,3688.1409,3806.0603,3675.3948,3787.273,3612.6152,3910.426,3484.4956,3786.7686,3873.6477,3774.244,3836.0532,3619.281,3508.2397,3601.2656,3635.5513,3814.8276,3863.2747,3667.2837,3639.9685,3606.671,3656.8474
9,virgin_ff,dm_R57C108xGC6s_190528b,sucrose,200mM,03,dm_R57C108xGC6s_190528b_03_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,3160.2793,3598.04,3586.5303,3457.5789,3552.8245,3395.7166,3572.9097,3378.82,3461.9932,3378.1243,3587.6118,3745.1868,4704.5645,4009.106,3963.3044,3978.4978,3631.3286,3803.1245,3659.474,3876.9692,4126.5737,3906.6606,3971.4922,3988.4668,4010.104,3620.7954,3950.5571,3889.5842,4117.104,4270.858,4067.335,3643.9915,3764.7754,3648.4214,3503.9702,3715.2244,3792.9756,3451.1477,3350.7708,3473.8323,3376.9482,3294.3586,3342.816,3327.3208,3262.6567,3298.4587,3530.4058,3531.4563,3601.5645,3470.0178,3352.3044,3276.9407,3307.6846,3544.3323,3428.2456,3424.1562,3431.174,3321.6953,3331.6763,3202.7764
10,virgin_ff,dm_R57C108xGC6s_190528b,sucrose,200mM,03,dm_R57C108xGC6s_190528b_03_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,3457.1782,3782.75,3721.1887,3717.607,3777.4727,3832.143,3194.908,3168.65,3407.099,3332.2266,3848.2322,3782.7185,3620.3699,4096.352,4400.3706,4314.3994,4133.0557,3800.2556,3926.1436,3801.0327,4094.5417,3900.0286,4417.5776,4337.118,4335.8413,4088.6904,4421.6445,4602.813,4023.6797,4320.45,3980.6536,3778.3923,3950.7844,3733.2595,3893.1494,3762.1423,3600.495,3728.182,3896.5095,3907.5813,3796.209,3696.2957,3647.0356,3689.1006,3778.887,3590.8818,3803.6687,3761.0398,3620.939,3705.144,3638.7576,3481.8767,3586.256,3571.8396,3650.4915,3788.342,3793.9036,3601.577,3635.062,3645.1091
