region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,virgin_ff,dm_R57C10xGC6s_190308a,h2o,NA,02,dm_R57C10xGC6s_190308a_02_h2o_SEZ_volreg_transfor_gauss.nii,6100.4336,6581.6357,6544.1787,6470.9004,6501.6797,6512.7427,6553.182,6496.6655,6247.461,6154.7217,6429.2783,6231.7124,6306.3193,6586.541,6629.374,6766.045,6776.1304,6516.433,6787.1157,6747.8794,6860.6543,6787.829,6804.995,6588.4717,6491.6226,6520.694,6441.4263,6275.41,6467.2876,6142.265,6106.5967,6182.1816,6073.3853,5915.968,5881.538,5787.4287,5697.3164,5700.994,5883.664,5959.2393,5946.774,5932.985,5950.5464,5744.562,5884.364,6247.8716,6139.5303,6022.878,6030.7954,5879.6196,6009.8516,6044.9697,6076.4766,5822.0586,5887.5986,5875.817,5809.6113,5782.8877,5853.0503,5761.1294
2,virgin_ff,dm_R57C10xGC6s_190308a,h2o,NA,02,dm_R57C10xGC6s_190308a_02_h2o_SEZ_volreg_transfor_gauss.nii,2852.0989,2984.325,2949.605,2956.141,3126.0986,2930.1814,2993.6145,3056.2751,2924.049,3034.942,3003.824,2925.697,2882.983,2992.0862,2941.5466,3012.2798,3081.692,3182.5664,3141.6392,3184.229,3180.3267,3116.3098,2986.2542,3072.9253,2994.751,2975.271,2936.2104,2941.0212,3044.888,2982.5803,3023.8008,2973.123,2900.178,2776.0706,2706.1768,2813.0762,2960.138,2952.3079,2949.2778,2953.2783,2986.3206,3017.3909,3029.2222,2916.9395,3093.1372,3033.6904,2955.571,2980.7576,2941.5369,3100.3271,3092.4143,3074.3413,2999.5503,2918.7244,2941.522,2930.0742,2936.7678,2821.14,2914.677,2970.86
3,virgin_ff,dm_R57C10xGC6s_190308a,h2o,NA,02,dm_R57C10xGC6s_190308a_02_h2o_SEZ_volreg_transfor_gauss.nii,5912.7407,6387.004,6976.871,8099.927,7433.69,6352.182,6578.7104,6257.8853,5943.961,6039.1997,6903.5713,12493.394,16060.271,17826.436,18841.984,19701.127,17406.553,11689.956,10956.126,8673.265,9374.759,14012.666,17268.754,16491.469,17265.918,17191.566,19226.094,17257.996,15784.215,11706.2295,11979.768,10821.088,9672.842,7196.919,7308.335,6672.5303,6131.152,6288.612,5540.0415,5814.325,5800.0044,5979.2793,5471.817,6047.049,5570.327,5510.117,5765.356,5901.672,6047.1636,5984.64,5900.2246,6131.873,5764.757,5575.0806,6072.205,5917.9863,8139.8003,8819.808,11304.26,9844.329
4,virgin_ff,dm_R57C10xGC6s_190308a,h2o,NA,02,dm_R57C10xGC6s_190308a_02_h2o_SEZ_volreg_transfor_gauss.nii,7072.4956,6983.68,7134.893,7652.5586,7368.5454,6838.0615,6626.5864,6589.811,6742.4043,6556.0747,7466.941,10292.639,12346.062,13743.697,14195.653,14171.055,12570.969,10114.905,8813.665,8093.52,8513.7295,11365.1045,12416.3545,12470.983,12263.221,12456.447,12677.757,12288.821,11072.617,9683.667,9037.739,8466.883,7642.358,7190.8643,7025.1997,6795.7744,6339.8535,6404.313,6157.31,6091.737,6118.611,6055.638,6167.592,6055.0493,6325.5327,6243.74,6261.899,6245.4585,6287.7114,6301.6206,6232.835,6434.327,6005.9165,6229.158,6163.2227,6315.929,7214.8784,7527.7505,9042.537,8431.199
5,virgin_ff,dm_R57C10xGC6s_190308a,h2o,NA,02,dm_R57C10xGC6s_190308a_02_h2o_SEZ_volreg_transfor_gauss.nii,6884.0405,7206.376,7109.9854,7030.7603,7329.7227,7239.042,7271.3164,7179.949,7148.2324,7034.9814,8139.1987,8337.534,8550.08,8761.354,8567.172,8901.785,8634.653,8389.322,8376.215,8227.283,9036.834,9082.184,8860.749,8830.878,8635.553,8542.7705,8400.303,8461.61,8471.507,8198.167,8017.1143,7776.8877,7428.2036,7251.8057,7131.9517,7352.998,6979.1943,7051.8525,6970.794,7092.2734,6940.015,6806.58,6850.347,6761.196,6870.0234,6880.7227,6747.065,6704.0615,6776.939,6732.8477,6760.17,6762.6123,6757.028,6755.844,6592.993,6514.0283,6597.1016,6547.053,6561.2827,6438.1245
6,virgin_ff,dm_R57C10xGC6s_190308a,h2o,NA,02,dm_R57C10xGC6s_190308a_02_h2o_SEZ_volreg_transfor_gauss.nii,6960.1597,7268.4355,6923.917,6910.5596,7345.416,7629.0586,7911.7905,7684.1074,7720.1265,7576.182,8703.2295,8567.984,8744.755,8968.376,8580.477,8703.2,8872.401,9415.1045,9132.272,9124.754,9570.264,9427.841,9011.106,8668.08,8373.295,7973.546,7838.957,7667.172,7606.7837,7435.6753,6824.2393,6786.704,6468.8286,6877.192,6944.043,7646.9346,7256.178,7742.8013,7328.9775,7661.206,7421.672,7317.7905,7283.3564,7342.057,7311.8584,7234.7173,7501.6724,7150.1294,7138.7646,7113.994,7278.5923,7094.164,7152.8784,7203.796,6888.941,6733.929,6749.8706,6249.1636,6322.5215,6096.641
7,virgin_ff,dm_R57C10xGC6s_190308a,h2o,NA,02,dm_R57C10xGC6s_190308a_02_h2o_SEZ_volreg_transfor_gauss.nii,5203.463,5516.669,5414.933,5445.98,5639.8105,5618.2817,5818.013,5581.533,5528.1533,5491.909,5812.1733,5764.982,6064.2954,6214.7207,6176.039,6122.0547,6165.5205,6059.304,5966.014,6133.3223,6171.586,6342.835,6095.3887,5865.5776,5861.869,5726.9277,5705.888,5544.7524,5493.499,5419.0615,5149.0635,5053.9004,5150.9297,5094.736,5149.8076,5031.508,5036.267,5095.219,4954.0493,5089.3228,5128.0503,5084.1006,5204.737,5029.7915,5158.44,5191.255,5055.368,5061.037,5180.5063,5043.555,5033.8105,5143.253,5166.95,5100.823,5003.6514,4962.8867,5052.6084,4922.343,4818.892,4820.248
8,virgin_ff,dm_R57C10xGC6s_190308a,h2o,NA,02,dm_R57C10xGC6s_190308a_02_h2o_SEZ_volreg_transfor_gauss.nii,4159.074,4343.699,4370.9956,4403.7935,4315.269,4458.3335,4381.674,4403.3345,4338.1426,4311.3335,4356.0337,4259.3345,4215.4165,4282.629,4323.2236,4322.0645,4361.5786,4311.3936,4465.524,4462.9287,4541.203,4478.8906,4252.514,4245.5513,4229.952,4306.792,4231.6797,4317.13,4260.972,4312.774,4256.741,4267.391,4341.267,4268.557,4167.0146,4017.2957,4078.5605,4075.417,4208.399,4329.691,4190.0034,4218.637,4172.114,4133.4785,4156.8955,4177.4243,4177.2793,4136.201,4199.567,4191.906,4283.341,4226.2827,4277.016,4120.6377,4152.7393,4208.8994,4258.579,4124.4697,4121.7837,4110.2295
9,virgin_ff,dm_R57C10xGC6s_190308a,h2o,NA,02,dm_R57C10xGC6s_190308a_02_h2o_SEZ_volreg_transfor_gauss.nii,4260.9653,4172.723,4147.569,4279.447,4609.1577,4564.8433,4831.014,4749.326,4677.2744,4576.2725,4805.8755,4687.998,4644.83,4604.676,4561.956,4580.8374,4798.62,5097.655,5066.6357,5255.947,5199.686,4939.9844,4684.9624,4622.3657,4448.7617,4325.855,4356.474,4242.4365,4418.0913,4337.1895,4235.698,4128.1685,3968.2417,3870.8098,3883.381,4207.61,4365.5786,4517.377,4497.0303,4511.148,4543.0522,4494.4155,4456.7783,4324.582,4512.824,4508.6445,4440.658,4459.7227,4446.298,4453.6274,4378.977,4418.614,4347.792,4342.923,4225.146,4193.0376,4093.7463,3935.618,3936.6467,3796.2078
10,virgin_ff,dm_R57C10xGC6s_190308a,h2o,NA,02,dm_R57C10xGC6s_190308a_02_h2o_SEZ_volreg_transfor_gauss.nii,4468.577,4556.6963,4555.084,4732.208,4707.947,4689.7065,4703.4536,4883.396,4945.451,5040.473,4809.0986,4961.141,4944.709,4822.691,4933.627,4937.845,4848.871,4766.041,5135.5513,5319.5527,5489.639,5237.717,5053.6226,5287.664,4859.469,5059.813,5070.8657,5093.4736,5053.971,4857.6587,5056.6694,5087.8413,4908.273,4897.902,5160.9995,5263.016,4907.0127,4839.5547,5073.211,5157.6206,5184.313,5146.3467,5083.2695,5015.907,5087.174,5228.376,5172.42,5252.921,5133.157,5218.688,5153.9937,5099.084,5076.901,5166.4067,5085.944,5143.7993,5230.3315,5131.148,4978.6416,5102.0264
