region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,virgin_ff,dm_R57C10xGC6s_190308a,sucrose,200mM,03,dm_R57C10xGC6s_190308a_03_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,6523.5776,6882.3525,6935.7295,6733.8564,6651.908,6543.0747,6762.4355,6651.4033,6419.842,6204.499,6214.7676,6102.5513,6252.069,6661.2173,7086.1763,7279.794,7488.7676,7571.3213,7788.6953,7625.459,7409.8525,7373.9814,7176.9556,7101.7227,7335.712,7178.771,7158.43,7237.374,7254.0415,7016.0166,7176.179,7089.226,6972.8306,7159.3184,7054.3223,7065.6274,6855.9136,6464.0547,6557.9673,6657.1504,6764.1826,6554.209,6640.009,6518.4463,6242.872,6202.5947,6536.5596,6372.156,6292.5522,5996.237,6000.533,6290.2163,6162.0815,6266.536,6052.4,6128.4077,6192.584,6149.9233,6134.2603,6314.3145
2,virgin_ff,dm_R57C10xGC6s_190308a,sucrose,200mM,03,dm_R57C10xGC6s_190308a_03_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,3024.307,3127.774,3093.2437,3034.3152,3098.8523,3070.0833,3052.2576,2892.5781,2945.9268,2876.7573,2995.0266,2933.981,2831.1172,2842.0854,2927.1086,2997.5867,2931.3433,3066.6794,3031.2153,2869.8743,2997.233,2941.1147,2902.2576,2992.4702,2932.189,2976.812,2953.976,2923.9956,2946.1602,2877.356,2907.5989,2949.957,2938.4678,3020.985,2920.7126,2815.2742,2873.7253,2852.1228,2893.4731,2865.7783,2989.0522,2829.1958,2930.7656,2865.9082,2829.6228,2829.0833,2910.4236,2834.2131,2821.1985,2730.8508,2779.163,2899.3447,2809.755,2825.1235,2869.1309,2833.759,2906.1265,2881.2188,2892.2976,2884.817
3,virgin_ff,dm_R57C10xGC6s_190308a,sucrose,200mM,03,dm_R57C10xGC6s_190308a_03_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,6185.474,6623.811,6243.7534,6202.83,6168.9946,5763.063,5990.9883,5718.602,7318.7744,11717.992,10046.596,7872.948,12128.751,15707.591,17819.51,19066.414,19041.08,15223.774,11295.566,9621.221,7417.862,12503.689,15167.623,18510.223,19682.873,19594.012,20322.98,20000.824,20628.396,19667.45,19565.06,18532.215,14508.8,10628.116,8858.089,8052.9653,6758.3706,6327.518,6071.841,6289.5015,5865.083,5100.129,5087.5464,5846.6064,5431.755,5620.0874,5363.738,5424.8833,5568.707,5355.1406,5568.112,5616.386,6250.365,6073.6533,5906.162,5983.777,5783.976,6274.147,10033.577,9524.415
4,virgin_ff,dm_R57C10xGC6s_190308a,sucrose,200mM,03,dm_R57C10xGC6s_190308a_03_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,7140.4756,7235.4077,7130.126,6742.857,6560.554,6445.2295,6604.9443,6331.622,7357.9053,9964.966,8881.729,8156.3594,11217.449,12996.593,14636.52,14391.318,15024.772,12891.448,10571.855,9183.334,8147.0273,10844.088,12796.519,13892.504,14512.353,14457.807,14367.064,14455.05,14750.072,14407.784,14174.797,14022.177,11940.907,10096.305,8716.845,7770.9097,7239.331,6944.9756,7039.3916,6801.3423,6544.26,6273.672,6422.376,6343.0723,6556.1826,6265.4287,6510.8623,6226.6167,6563.18,6536.3594,6552.356,6969.2837,6921.2476,6996.0327,6899.6055,7040.683,7070.186,7087.9634,9232.514,8816.504
5,virgin_ff,dm_R57C10xGC6s_190308a,sucrose,200mM,03,dm_R57C10xGC6s_190308a_03_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,7250.1377,7546.483,7571.1177,7450.947,7442.084,7326.331,7437.003,7154.7896,7073.539,7030.776,7042.7275,7123.869,8259.67,9060.468,9368.364,9663.723,9734.039,9612.502,9123.097,8647.39,8363.271,9610.3955,9690.418,9574.821,9676.104,9460.093,9547.806,9390.994,9442.603,9307.3545,9238.876,9157.382,8725.163,8645.127,8477.88,8033.184,7790.2935,7480.3755,7456.9893,7393.6567,7393.7607,7257.68,7303.4536,7099.046,6956.204,6844.127,7057.6953,6933.728,6920.5757,6624.9937,6518.094,6782.706,6809.427,6831.588,6796.3296,6665.615,6820.312,6725.9634,6807.2095,6934.762
6,virgin_ff,dm_R57C10xGC6s_190308a,sucrose,200mM,03,dm_R57C10xGC6s_190308a_03_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,7985.972,7816.148,7663.3916,7875.1436,8035.153,8046.4653,8037.0605,7686.2163,7139.4795,7108.3125,6988.9575,6816.16,7796.348,8625.984,9166.087,9356.676,9767.6,10459.138,10385.562,10332.683,9881.347,10724.844,10322.471,9886.169,9761.001,9496.734,9395.73,9210.188,9039.8545,9145.432,9134.852,9090.601,8883.628,9419.484,9323.465,8911.735,8589.09,8124.431,8068.2485,8477.841,8275.022,7884.181,7894.1787,7872.974,7622.768,7728.58,7706.043,7530.6045,7666.235,7226.4023,6779.753,6973.512,6881.1753,6737.8184,6774.471,6507.1704,6700.063,6501.5806,6612.183,6467.6987
7,virgin_ff,dm_R57C10xGC6s_190308a,sucrose,200mM,03,dm_R57C10xGC6s_190308a_03_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,5243.4873,5625.746,5666.726,5502.2983,5511.2734,5541.918,5477.54,5340.0854,5359.394,5351.391,5293.3267,5172.7295,5691.947,5744.189,6024.35,6251.3296,6229.387,6251.1123,6113.6797,5827.4814,5782.198,6025.4536,5989.628,6004.645,6040.733,6056.945,6018.027,6077.334,6063.4814,5954.4937,6003.4136,5887.913,5691.8164,5748.9116,5713.496,5625.895,5473.4854,5252.0464,5293.143,5279.6597,5435.9043,5226.7646,5362.941,5220.8325,5114.0156,5123.409,5361.906,5185.538,5402.271,5028.502,4966.518,5107.0244,5085.502,5128.1494,5011.7295,4963.197,5206.103,4995.2085,5107.887,5140.5747
8,virgin_ff,dm_R57C10xGC6s_190308a,sucrose,200mM,03,dm_R57C10xGC6s_190308a_03_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,4115.932,4365.7974,4480.6294,4354.2573,4409.4507,4352.5713,4397.511,4409.1465,4390.6016,4271.9478,4265.0884,4182.6484,4226.2983,4113.544,4290.818,4369.747,4511.1885,4401.434,4524.6143,4218.399,4392.2524,4247.607,4165.162,4254.672,4501.5527,4503.841,4476.866,4519.8257,4555.6562,4452.859,4512.5664,4626.457,4554.533,4561.9,4415.062,4511.603,4376.875,4228.3193,4447.3896,4185.3135,4412.1406,4121.178,4264.226,4226.1084,4161.5996,4095.2659,4345.3564,4178.7437,4044.4202,4150.338,4029.3604,4169.86,4179.951,4263.9863,4032.6797,4146.3076,4267.4355,4260.728,4284.8525,4254.4204
9,virgin_ff,dm_R57C10xGC6s_190308a,sucrose,200mM,03,dm_R57C10xGC6s_190308a_03_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,4458.3696,4526.4395,4542.0596,4561.054,4581.4673,4712.309,4638.463,4417.11,4288.6406,4180.214,4164.6426,4071.8606,4198.834,4241.424,4581.9634,4603.7993,4577.1475,5214.3486,5086.5493,5079.9697,5033.866,5132.9595,4915.627,4938.3677,4737.09,4663.9854,4642.95,4587.7417,4485.493,4462.11,4376.8584,4381.3696,4412.5854,4759.341,4877.2476,4730.6846,4566.963,4268.855,4406.3086,4518.606,4585.4897,4475.4077,4511.3315,4262.707,4288.2783,4269.4272,4433.5273,4336.248,4224.505,3990.6907,3925.076,4001.9802,3891.6538,3810.217,3847.2793,3858.3132,3886.0093,3839.62,3820.768,3812.373
10,virgin_ff,dm_R57C10xGC6s_190308a,sucrose,200mM,03,dm_R57C10xGC6s_190308a_03_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,4363.064,4509.6753,5024.461,4713.664,4757.32,4636.111,4606.583,4535.4165,4891.3096,4845.6963,4631.717,4336.0864,4076.7324,4373.6216,4947.341,5041.9766,5037.4,5233.304,5034.5557,5308.6245,5229.2485,5075.599,5152.025,5337.6543,5387.6665,5380.74,5493.109,5364.7,5398.3047,5360.7344,5446.7056,5303.3535,5545.443,5405.8354,5208.3174,5523.446,5208.1196,5278.5,5468.7275,5110.375,5038.147,4900.833,4964.847,4738.0645,4888.5586,4642.88,4608.1387,4598.6914,4640.915,4722.7847,4419.9907,4797.523,4401.223,4534.1006,4512.8267,4461.0996,4524.7666,4280.342,4337.828,4693.6514
11,virgin_ff,dm_R57C10xGC6s_190308a,sucrose,200mM,03,dm_R57C10xGC6s_190308a_03_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,5426.778,5599.869,5444.268,5269.897,5361.3306,5509.4805,5459.971,5155.035,5229.3545,5052.434,5040.9053,5059.7773,5180.2896,5450.5557,5812.01,6008.26,6023.0254,6241.891,6137.3354,5955.6587,5713.532,5916.777,5910.5317,6123.0527,6179.6646,6251.979,6214.101,6327.781,6180.202,6240.5806,6175.782,6161.894,6091.87,6138.5103,5717.0137,5724.3037,5812.264,5538.1875,5534.1343,5595.3735,5732.6724,5367.1924,5495.9106,5367.1865,5294.8184,5271.1714,5512.1606,5216.283,5263.307,5115.0854,5059.9795,5237.002,5235.431,5292.5093,5191.499,5178.7866,5251.4927,5226.847,5343.4717,5216.3013
12,virgin_ff,dm_R57C10xGC6s_190308a,sucrose,200mM,03,dm_R57C10xGC6s_190308a_03_sucrose_200mM_SEZ_volreg_transfor_gauss.nii,2954.0105,3205.2566,3085.081,3004.6467,2953.366,2919.6033,3005.8093,2833.7578,2724.8577,2737.9888,2702.5513,2708.4407,2747.391,2878.1758,2931.4224,2978.2764,3028.8743,3106.0942,3229.4211,3025.8025,3058.8137,3024.534,3005.9253,2969.4312,3020.514,2990.337,3057.8289,3035.3518,3084.2512,3034.0552,2943.53,2950.8137,2975.517,3104.4854,3140.9973,3058.1807,2799.0286,2702.837,2808.354,2833.781,3012.1313,2809.5947,2838.155,2707.8916,2731.1753,2736.192,2982.576,2794.0317,2703.9314,2590.1008,2553.7383,2632.789,2622.847,2628.282,2585.5718,2565.2375,2609.9219,2592.7422,2546.9507,2690.4353
