region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,virgin_ff,dm_R57C10xGC6s_190503a,yeast,10%,03,dm_R57C10xGC6s_190503a_03_yeast_10%_SEZ_volreg_transfor_gauss.nii,4811.064,5018.9604,5215.585,4912.437,4962.959,5017.2144,5352.0605,5147.8516,5154.182,5713.7266,5323.257,5554.655,5554.3076,5413.4785,5243.1934,5374.309,5331.042,5442.167,5344.3174,5225.9976,4888.4526,4837.7896,4749.545,4791.7485,4736.2866,4769.3926,4878.7856,4893.847,4844.689,4779.8623,5145.394,5026.756,5013.9995,4993.004,5266.0303,5224.5757,5285.3677,5090.106,5091.995,5187.1724,5002.789,5236.8574,5168.0186,5305.7114,5323.135,5360.231,5304.9556,5464.2295,5290.0107,5242.557,5356.7544,5443.2007,5207.8813,5217.442,5107.155,5252.474,5109.109,5297.121,5214.484,5304.1875
2,virgin_ff,dm_R57C10xGC6s_190503a,yeast,10%,03,dm_R57C10xGC6s_190503a_03_yeast_10%_SEZ_volreg_transfor_gauss.nii,2613.42,2656.277,2616.9792,2633.3916,2564.9863,2671.7778,2726.702,2811.1611,2978.59,3023.123,2980.658,3024.7815,2949.3674,2970.332,3023.7305,2971.649,2911.53,2884.0588,2921.1584,2826.2344,3239.8545,2940.003,3042.986,2973.72,3026.5366,2942.8787,3190.963,3101.7705,2960.5532,2960.3127,2813.8423,2850.9773,2974.6372,2883.8364,2835.3508,2942.0503,2906.1602,2833.0542,2952.0793,2945.2288,2740.631,2681.346,2747.9553,2887.7852,2824.3918,2843.2397,2819.8284,2685.1306,2814.7402,2814.0115,2847.539,2761.6328,2812.3508,2884.4124,2729.5256,2705.455,2799.7996,2819.7698,2890.334,2786.3096
3,virgin_ff,dm_R57C10xGC6s_190503a,yeast,10%,03,dm_R57C10xGC6s_190503a_03_yeast_10%_SEZ_volreg_transfor_gauss.nii,7894.3706,5767.7183,6539.58,6225.368,6197.6206,6105.3384,7435.2603,7360.3,7825.563,8330.649,9159.328,8636.415,7714.544,8783.851,7974.6753,9405.438,7627.7036,7465.772,7418.8096,7263.27,7933.614,8302.506,7547.9014,8855.138,9460.639,8775.052,8322.933,7950.2456,6938.171,7476.5317,6628.1694,6192.246,6457.669,5505.158,6064.2876,5958.0244,5581.1787,5655.893,5736.558,6155.296,5486.2603,6490.0703,6030.5454,6992.257,5890.2695,5530.683,5712.1025,5569.268,6268.468,6340.9097,6119.6777,6811.5415,6548.742,5993.861,6144.8877,6753.2456,7047.8643,6842.952,7072.307,7027.678
4,virgin_ff,dm_R57C10xGC6s_190503a,yeast,10%,03,dm_R57C10xGC6s_190503a_03_yeast_10%_SEZ_volreg_transfor_gauss.nii,6431.6646,6053.4287,6076.37,5645.799,5710.4233,6103.574,6701.6245,6628.0127,6503.16,6976.9272,7489.1294,7179.454,6685.4326,6957.6494,7429.285,7033.388,6435.883,6279.124,6175.345,5641.678,5824.836,6261.527,6345.284,7174.6074,6624.8545,6505.467,6554.3174,6414.6597,6613.0264,6132.4565,6321.1885,6091.9053,6356.731,5730.307,5490.6504,5631.875,5666.9365,5577.598,5513.2563,5489.2603,5494.8403,5610.934,5608.341,5887.5034,5774.071,5795.3794,5528.0923,5559.7026,6083.822,6919.679,6327.2583,5828.7915,6187.758,6121.549,6075.573,6061.306,6248.683,6209.296,6028.946,6131.651
5,virgin_ff,dm_R57C10xGC6s_190503a,yeast,10%,03,dm_R57C10xGC6s_190503a_03_yeast_10%_SEZ_volreg_transfor_gauss.nii,7104.906,7357.6626,7395.6836,7015.9087,7072.668,7256.8228,7510.6147,7519.089,7432.007,7790.905,7831.1675,7666.6504,7761.515,7706.813,7784.934,7759.821,7518.351,7585.954,7589.2817,7296.2773,7845.1543,7831.9844,7720.8237,7967.205,7611.487,7487.561,7670.228,7820.196,7378.9688,7537.7505,7488.447,7474.6797,7397.4297,7163.0996,7275.1333,7440.929,7503.3755,7395.6055,7465.0264,7613.4556,7389.135,7463.379,7547.093,7878.276,7767.9663,8000.707,7655.593,7759.258,8035.83,7960.6987,8039.4136,7868.1836,8047.347,8424.455,8364.373,8256.415,8336.215,8364.497,8328.372,8440.379
6,virgin_ff,dm_R57C10xGC6s_190503a,yeast,10%,03,dm_R57C10xGC6s_190503a_03_yeast_10%_SEZ_volreg_transfor_gauss.nii,4670.7856,4970.88,5135.6387,4761.9023,4963.6113,4899.8574,5026.7046,5213.903,5255.2007,5722.0366,5923.425,5901.355,5688.001,5614.0273,5582.7607,5914.5195,5129.8384,5450.364,5438.575,5117.8223,5861.3975,6090.4272,6035.1626,6514.242,5867.7524,5730.0425,6007.819,5849.298,5972.7217,5598.774,5284.62,5255.04,5547.856,5425.8984,5391.38,5451.4883,5299.319,5175.5625,5103.86,5315.9663,5075.5527,5200.9917,5145.0825,5506.33,5337.1304,5564.041,5152.3354,5244.3423,5340.5376,5410.4277,5630.329,5330.007,5721.0854,5643.6846,5510.8555,5381.15,5483.6543,5701.1416,5637.251,5597.2207
7,virgin_ff,dm_R57C10xGC6s_190503a,yeast,10%,03,dm_R57C10xGC6s_190503a_03_yeast_10%_SEZ_volreg_transfor_gauss.nii,4988.969,5149.457,5161.392,4997.5205,5123.431,5166.378,5431.0728,5417.7944,5402.0654,5789.8066,5537.496,5664.8037,5532.524,5623.2876,5464.2437,5720.7285,5474.568,5467.122,5456.309,5148.617,5371.5767,5407.9883,5235.2827,5322.2017,5351.9185,5112.903,5241.37,5494.9116,5245.8545,5335.0474,5263.723,5286.605,5297.056,5147.66,5013.858,5323.3804,5157.249,5231.7183,5335.5103,5150.637,5000.1445,4881.494,5182.1133,5388.8584,5309.8413,5435.4097,5197.117,5144.666,5259.963,5403.416,5376.869,5218.7715,5451.445,5477.099,5355.9214,5453.116,5490.1396,5517.3057,5652.2104,5626.9937
8,virgin_ff,dm_R57C10xGC6s_190503a,yeast,10%,03,dm_R57C10xGC6s_190503a_03_yeast_10%_SEZ_volreg_transfor_gauss.nii,3421.9033,3597.846,3633.5874,3428.1,3553.9639,3649.951,3755.9556,3764.0693,3793.1716,3731.8613,3581.3406,3784.8762,3763.6738,3808.01,3680.5088,3751.1238,3655.7642,3649.794,3656.0417,3779.9805,3534.9019,3563.495,3584.23,3522.0007,3558.3525,3559.822,3399.8071,3485.8982,3476.965,3565.0947,3629.657,3449.3904,3530.9634,3574.6013,3624.795,3544.031,3599.3545,3497.1824,3436.3123,3591.1123,3469.2424,3705.9702,3634.281,3622.1511,3618.7886,3664.4243,3749.074,3742.052,3663.824,3592.4192,3709.6467,3710.77,3720.291,3457.497,3715.2913,3513.671,3552.5793,3643.1418,3606.486,3575.6033
9,virgin_ff,dm_R57C10xGC6s_190503a,yeast,10%,03,dm_R57C10xGC6s_190503a_03_yeast_10%_SEZ_volreg_transfor_gauss.nii,3210.9185,3400.6921,3345.0195,3314.5664,3287.3916,3344.5273,3523.0388,3557.548,3713.0813,3975.8381,3874.7224,3822.2656,3841.239,3901.3113,3873.4492,3854.5942,3707.9814,3729.3406,3726.601,3520.6533,4060.9983,3858.7336,4036.5913,4083.6812,3926.549,3831.891,4088.9502,3931.7505,3881.9429,3806.3044,3533.5273,3583.6401,3886.6575,3554.1782,3540.5906,3645.5225,3647.9194,3511.9932,3559.78,3622.88,3376.347,3408.4724,3566.904,3678.671,3666.2078,3762.0432,3471.902,3453.9407,3552.5269,3680.4883,3655.3413,3573.4897,3634.8552,3725.6174,3660.7861,3599.6284,3718.8755,3682.4915,3841.5266,3664.3025
10,virgin_ff,dm_R57C10xGC6s_190503a,yeast,10%,03,dm_R57C10xGC6s_190503a_03_yeast_10%_SEZ_volreg_transfor_gauss.nii,3775.8613,3847.3694,3923.1348,3672.191,3514.2607,3613.9756,4107.513,3903.3154,3975.9475,4264.1606,4130.8945,4182.275,4007.208,4088.1462,4086.229,4146.016,3966.816,3906.6465,3941.9722,3771.3474,3463.9229,3262.2078,3490.6724,3632.0754,3507.3088,3503.6453,3411.5894,3417.103,3456.1326,3306.404,3388.9229,3333.4375,3464.8901,3209.981,3179.7188,3106.3582,3255.2275,3145.8,3093.4631,3020.9653,3141.924,3244.787,2959.8516,3224.234,3185.4688,3058.9666,3098.9675,3193.8755,3252.1313,3255.1877,3091.2793,3096.1658,3131.1704,3159.145,3182.1987,3195.6086,3214.7776,3208.889,3060.973,3171.599
