region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,virgin_ff,dm_R57C10xGC6s_190507a,nostim,NA,01,dm_R57C10xGC6s_190507a_01_nostim_SEZ_volreg_transfor_gauss.nii,5341.2095,5622.5034,5440.235,5479.0264,5620.9956,5537.377,5599.967,5715.6064,5845.033,5761.6772,5681.115,5708.8345,5811.6494,5732.8784,5620.542,5586.1167,5759.886,5775.9053,5917.6567,5507.962,5664.577,5618.7554,5798.634,5608.971,5643.01,5521.333,5526.43,5693.165,5610.1904,5717.624,5653.306,5730.5566,5615.7334,5663.9277,5666.7905,5677.416,5703.448,5690.936,5561.4487,5546.243,5522.408,5675.6733,5818.0483,5593.9653,5518.685,5571.391,5497.9004,5405.5396,5397.5005,5277.2876,5073.4644,5021.1724,5067.087,5335.585,5031.1157,5128.514,5119.423,5248.396,5373.0977,5379.304
2,virgin_ff,dm_R57C10xGC6s_190507a,nostim,NA,01,dm_R57C10xGC6s_190507a_01_nostim_SEZ_volreg_transfor_gauss.nii,2738.6316,2747.2468,2752.5874,2760.2583,2785.91,2761.9326,2881.088,2842.8726,2799.062,2834.9697,2867.2336,2832.4885,2837.6152,2903.343,2887.3499,2849.0444,2870.4895,2839.814,2885.9473,2851.1624,2870.7285,2863.8958,2849.6719,2836.4863,2783.1602,2831.3728,2880.8455,2798.4067,2855.122,2809.694,2801.9756,2742.1099,2844.0918,2782.271,2710.7856,2756.446,2807.3228,2795.4702,2858.239,2778.6846,2695.4885,2681.6155,2667.4177,2690.7712,2679.8467,2718.2878,2764.0652,2750.5493,2707.3008,2675.2542,2776.1523,2779.89,2762.547,2713.1897,2744.4534,2748.0378,2794.7136,2828.1216,2840.0906,2790.3875
3,virgin_ff,dm_R57C10xGC6s_190507a,nostim,NA,01,dm_R57C10xGC6s_190507a_01_nostim_SEZ_volreg_transfor_gauss.nii,7075.674,6475.3794,6873.793,6743.576,6350.9033,6474.0264,6250.168,6890.4453,6894.789,6286.4683,6994.5923,6523.941,6799.1807,6922.9277,6757.4077,6833.217,6607.534,6781.884,6331.6694,6764.867,6551.662,6582.7183,7303.862,6813.8887,6726.473,6900.546,6704.844,6867.237,6633.374,6854.906,6919.8564,7160.0483,6450.7407,6711.2637,6770.6084,6771.808,6553.4116,6572.135,6639.1284,6854.879,6878.727,6519.872,6164.2354,7036.6636,6868.0815,6767.082,6188.0938,6791.717,6673.554,6362.086,6067.3477,6775.797,6120.7534,6501.3354,6248.774,6384.221,6168.7334,5759.1577,6556.5146,6462.3384
4,virgin_ff,dm_R57C10xGC6s_190507a,nostim,NA,01,dm_R57C10xGC6s_190507a_01_nostim_SEZ_volreg_transfor_gauss.nii,8647.813,8142.5557,8162.0054,8018.279,8209.444,8181.5244,8530.744,8429.061,8447.257,8446.284,8476.872,8474.9795,8394.959,8322.979,8340.004,8475.563,8380.799,8516.174,8328.206,8361.428,8305.596,8313.207,8178.5728,8198.196,8375.5625,8359.076,8243.862,8130.242,8129.3745,8068.227,8130.031,7876.785,8022.747,8191.932,7946.79,7807.028,7959.152,8115.761,7737.311,7975.9995,8021.2295,8016.6143,7974.3975,7761.437,8007.5815,7806.057,7862.7256,7914.483,7950.4424,7902.8477,7915.6606,7887.8403,7899.431,8077.835,8415.983,8242.634,8321.369,8379.661,8417.183,8375.873
5,virgin_ff,dm_R57C10xGC6s_190507a,nostim,NA,01,dm_R57C10xGC6s_190507a_01_nostim_SEZ_volreg_transfor_gauss.nii,7947.26,7938.64,7864.534,7736.9805,7750.841,7623.0947,7908.586,7668.3936,7748.0933,7786.991,7865.6665,7924.6934,7902.167,7825.2305,7824.666,7904.896,7894.9595,8019.36,7936.849,7850.2754,8070.56,8022.098,8050.23,7976.7515,7831.349,7856.319,7921.2324,7858.6133,7906.8403,7711.589,7931.4937,7749.002,7742.491,7884.203,7827.8687,7628.69,7607.0684,7580.4604,7479.003,7600.0254,7483.4224,7545.619,7607.457,7496.718,7428.399,7344.345,7334.4844,7383.876,7359.426,7205.1865,7125.5674,7379.5464,7387.223,7560.915,7374.0693,7360.9194,7456.8833,7501.1836,7546.396,7559.29
6,virgin_ff,dm_R57C10xGC6s_190507a,nostim,NA,01,dm_R57C10xGC6s_190507a_01_nostim_SEZ_volreg_transfor_gauss.nii,6638.676,6480.8506,6375.7666,6230.6216,6170.696,6672.7803,6797.8403,6293.6953,6693.666,6683.3413,6423.143,6479.777,6563.191,6334.7456,6312.9785,6327.901,6407.496,6813.154,6688.605,6317.805,6773.844,6590.216,6800.667,6500.0015,6265.2954,6124.2046,6376.1064,6643.01,6720.36,6329.8906,6267.7827,5982.508,6042.03,6203.214,5890.5596,5780.95,6088.445,6062.8745,6071.001,5809.3,5893.293,6107.9077,6355.6963,6009.737,5900.3535,5921.3306,5980.527,5935.191,5632.8584,5543.7363,5651.691,5850.107,5774.941,5758.0215,5842.778,5852.842,5791.95,5956.265,5864.61,5850.03
7,virgin_ff,dm_R57C10xGC6s_190507a,nostim,NA,01,dm_R57C10xGC6s_190507a_01_nostim_SEZ_volreg_transfor_gauss.nii,6633.1177,6898.2314,6872.284,7021.9067,6965.2515,7105.9355,7299.823,7126.2827,7233.443,7430.954,7406.264,7335.2407,7429.865,7465.1084,7332.327,7339.8975,7462.4453,7446.2773,7463.9565,7381.651,7533.688,7430.831,7287.699,7403.102,7436.3784,7318.6807,7353.576,7412.703,7346.7812,7155.7183,7174.7617,7160.807,7148.3286,7073.948,7132.2188,6954.4175,7042.215,7130.2026,6949.0205,7115.0117,6930.7583,6932.9463,6858.106,6911.3765,6881.0234,6785.024,6797.7915,6780.2896,6791.3477,6852.8228,6829.428,6908.1167,7020.5566,6968.624,7000.4653,6908.544,7035.662,7018.4634,6977.0884,6996.993
8,virgin_ff,dm_R57C10xGC6s_190507a,nostim,NA,01,dm_R57C10xGC6s_190507a_01_nostim_SEZ_volreg_transfor_gauss.nii,3842.515,4088.015,4112.5913,4044.5493,4115.665,4184.0547,4043.1272,4149.181,4239.2563,4226.753,4234.66,4232.232,4296.9077,4321.585,4195.476,4167.4844,4248.847,4203.4736,4192.4346,4181.636,4160.2397,4008.0283,4253.574,4152.3906,4153.804,4128.486,3998.8428,4160.369,4128.062,4186.182,4157.9077,4172.019,4117.5625,4129.698,4107.9404,4112.209,4137.777,4034.0803,4070.2156,4044.059,4040.3088,4124.0034,4112.4404,4109.7725,4115.0176,4155.223,4130.332,4051.4187,4149.5713,4092.0107,4032.2087,3997.773,3982.8457,3985.3022,3996.1458,4054.3176,3942.931,3963.1167,3954.3528,3990.2986
9,virgin_ff,dm_R57C10xGC6s_190507a,nostim,NA,01,dm_R57C10xGC6s_190507a_01_nostim_SEZ_volreg_transfor_gauss.nii,3505.138,3567.6953,3671.0557,3545.8994,3545.9436,3611.3367,3722.8718,3605.7788,3650.5012,3677.2737,3672.4407,3658.9785,3702.2864,3660.1387,3638.204,3687.474,3718.186,3765.1475,3743.9702,3656.8855,3710.5488,3714.7842,3657.7131,3650.2717,3609.4941,3618.2764,3695.0813,3658.0835,3692.7947,3620.5054,3666.3752,3589.1018,3598.4158,3590.0493,3556.0193,3581.8723,3530.2273,3508.3489,3634.0164,3561.637,3412.1624,3443.5579,3422.5625,3409.7065,3381.6772,3420.3005,3792.3396,3459.0386,3363.6365,3320.44,3429.5522,3449.843,3478.1372,3549.8542,3513.7297,3462.1296,3629.9673,3733.8777,3769.549,3756.2725
10,virgin_ff,dm_R57C10xGC6s_190507a,nostim,NA,01,dm_R57C10xGC6s_190507a_01_nostim_SEZ_volreg_transfor_gauss.nii,4949.909,5078.1777,5099.318,5163.8374,5120.589,5010.264,5015.321,5167.6704,5140.888,5096.1953,5126.667,5210.102,5118.879,5157.8394,5154.162,5154.431,5148.107,5314.4766,5198.4663,5230.4707,5128.087,5265.9336,5255.0005,5191.7446,5225.155,5072.6016,5163.507,5174.1494,5094.2373,5082.648,5093.361,5068.5713,5120.2183,4988.0054,5090.574,4895.899,4965.5166,4963.85,4708.4805,4825.6636,4840.347,4949.3896,4991.2866,4836.6406,4820.5557,4831.4907,4662.859,4760.061,4776.328,4670.152,4810.9385,4724.0073,4731.8413,4771.9326,4692.1567,4685.921,4617.9517,4770.4507,4769.5845,4657.906
