region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,virgin_ff,dm_R57C10xGC6s_190507b,nostim,NA,01,dm_R57C10xGC6s_190507b_01_nostim_SEZ_20190529163911_volreg_transfor_gauss.nii,6811.378,7519.7144,7013.3984,7103.509,7346.7485,7494.8335,7442.7183,7839.5005,7629.0312,7513.0713,7911.8193,7826.791,7825.6484,7622.5186,7451.3213,7662.8994,7845.7495,7890.2476,7673.371,7374.505,7636.915,7731.8613,7870.4736,7616.907,7725.8486,7961.479,7824.3657,7783.4937,7596.1387,7549.4805,7422.169,7171.1533,7392.5737,7894.76,7692.1143,7777.906,7618.5366,7504.9023,7426.467,7506.184,7722.681,7519.652,7498.6387,7724.902,7221.1353,7656.3438,7767.4893,7605.3003,7594.785,7682.357,7459.834,7615.053,7524.4546,7665.345,7491.459,7509.101,7669.8423,7630.447,7596.7227,7518.8467
2,virgin_ff,dm_R57C10xGC6s_190507b,nostim,NA,01,dm_R57C10xGC6s_190507b_01_nostim_SEZ_20190529163911_volreg_transfor_gauss.nii,3258.197,3423.4216,3784.7544,3720.8652,3655.9363,3773.6172,3785.4724,3846.2585,3792.023,3879.7952,4006.91,3765.6396,3872.2725,3788.964,3932.9543,3968.143,3876.6223,3914.1587,3698.2659,3813.2102,3650.5122,3840.008,3890.9165,3960.1692,4037.2903,3692.0137,3388.1304,3487.8408,3485.7915,3706.7761,3895.8435,3890.6719,4067.8584,3909.085,3922.0676,3782.6367,3563.256,4154.196,3523.2454,3546.9167,3649.6318,3565.5583,3730.3123,3534.5413,3652.7744,3603.5396,3533.7854,3519.353,3378.0042,3357.9497,3454.2205,3580.174,3682.2664,3545.2761,3625.4214,3590.9182,3567.944,3346.1887,3374.6873,3550.259
3,virgin_ff,dm_R57C10xGC6s_190507b,nostim,NA,01,dm_R57C10xGC6s_190507b_01_nostim_SEZ_20190529163911_volreg_transfor_gauss.nii,8518.019,8771.934,8347.1875,8795.209,8863.615,9032.155,9750.558,9244.849,9189.731,8240.851,8692.586,8936.913,9066.615,8686.586,8500.75,8830.248,8409.808,9161.485,8737.115,9032.899,9006.678,8868.638,8917.521,8307.406,9727.138,9040.216,9367.431,9159.873,8539.515,9624.905,8524.072,8661.805,8768.933,8790.09,9624.26,9538.379,9395.353,8561.333,9151.536,9064.005,9526.024,8363.15,8520.696,8265.95,9035.877,8666.723,8633.074,8143.993,9044.692,8509.842,8577.025,9402.581,8349.919,8430.948,8741.323,9167.317,9059.416,9528.634,8244.0,9226.666
4,virgin_ff,dm_R57C10xGC6s_190507b,nostim,NA,01,dm_R57C10xGC6s_190507b_01_nostim_SEZ_20190529163911_volreg_transfor_gauss.nii,8788.977,8925.02,9053.259,8811.439,8787.433,9085.166,9132.197,9352.45,9275.217,9158.839,9400.169,9479.1875,9734.907,9230.846,9200.504,9322.722,9262.9,9469.446,9191.331,9260.695,9136.168,9475.896,9426.737,9332.467,9074.797,9168.198,9255.672,9067.721,9037.363,9256.252,9070.909,9006.599,9169.991,8986.666,9432.658,9111.643,8972.63,9201.12,8757.359,8915.707,9046.599,9067.308,9119.193,9026.711,9170.034,9095.66,9035.843,9232.1045,9028.253,9027.868,9008.466,9287.031,9108.249,9394.328,9258.11,9210.988,9335.706,9273.145,9182.286,9153.791
5,virgin_ff,dm_R57C10xGC6s_190507b,nostim,NA,01,dm_R57C10xGC6s_190507b_01_nostim_SEZ_20190529163911_volreg_transfor_gauss.nii,9100.915,9709.154,9636.496,9475.407,9564.561,9794.476,10136.953,10190.179,9979.9795,10147.787,10269.898,11479.481,11172.177,10448.41,10268.984,10703.401,10245.64,10349.754,10112.317,10122.002,10586.32,10387.4795,10474.643,10352.143,10364.336,10012.476,10188.054,10002.124,9779.597,10252.436,10177.307,10023.418,10033.879,9874.903,10158.09,10055.112,9538.02,9843.391,9650.288,9775.595,9876.597,9848.41,9947.753,9947.562,9548.703,9825.234,9758.86,9695.885,9563.896,9535.898,9471.201,9814.71,9700.551,9874.29,9902.036,9726.5625,9807.975,9657.706,9596.44,9602.19
6,virgin_ff,dm_R57C10xGC6s_190507b,nostim,NA,01,dm_R57C10xGC6s_190507b_01_nostim_SEZ_20190529163911_volreg_transfor_gauss.nii,7682.041,7947.493,8178.817,7617.4604,7831.288,7992.7783,7901.4272,8370.265,8317.944,8384.495,8422.134,8866.2705,8625.979,8189.0474,8302.256,8395.005,8081.506,8165.03,8701.85,8119.8403,8209.205,8273.59,8072.5615,8186.1465,8210.314,8179.286,7935.9443,8197.246,7790.0425,8019.682,7970.3955,7873.3896,8059.6284,7869.5454,8153.907,7704.035,7475.2583,7458.0713,7472.458,7963.999,7678.4253,7968.476,8076.423,7941.023,8213.752,7877.921,7927.022,7692.201,7474.4604,7286.133,7367.3506,7744.8633,7581.195,8005.7793,7706.8433,7542.0015,7633.135,7792.9214,7811.121,7777.052
7,virgin_ff,dm_R57C10xGC6s_190507b,nostim,NA,01,dm_R57C10xGC6s_190507b_01_nostim_SEZ_20190529163911_volreg_transfor_gauss.nii,9411.989,10069.898,10351.783,9846.72,10063.014,10151.34,10424.171,10689.223,10403.572,10736.798,10783.52,10550.669,10606.555,10459.04,10332.149,10490.011,10517.178,10841.858,10733.506,10663.282,10078.991,10634.097,10807.643,10600.325,10458.706,10475.882,10681.727,10466.345,10362.0205,10401.753,10204.83,10386.88,10283.309,10405.513,10591.483,10595.29,10220.577,10457.199,10064.885,9927.854,10207.118,10300.74,10371.401,10401.647,10458.011,10299.79,10311.975,10424.199,10197.555,10134.854,10150.835,10332.782,10224.3545,10500.491,10161.724,10308.4375,10362.229,10280.67,10132.236,10312.592
8,virgin_ff,dm_R57C10xGC6s_190507b,nostim,NA,01,dm_R57C10xGC6s_190507b_01_nostim_SEZ_20190529163911_volreg_transfor_gauss.nii,5634.7188,6343.988,5954.1304,6184.785,6025.693,6378.622,6281.3286,6552.906,6267.14,6118.524,6603.0117,6219.005,6333.001,6193.5254,6277.618,6554.5815,6542.8486,6646.332,6327.995,6352.939,6493.4326,6355.625,6599.959,6220.656,6381.1826,6568.7173,6552.7764,6458.523,6496.8184,6454.455,6530.8965,6073.8633,6144.3164,6312.7666,6419.4775,6344.876,6379.0566,6359.402,6323.997,6332.8687,6369.347,6333.4995,6428.921,6448.8657,6160.126,6318.4116,6462.1206,6293.626,6451.608,6455.8125,6322.4146,6386.305,6389.747,6553.054,6377.44,6093.899,6398.932,6356.6274,6308.0547,6369.0205
9,virgin_ff,dm_R57C10xGC6s_190507b,nostim,NA,01,dm_R57C10xGC6s_190507b_01_nostim_SEZ_20190529163911_volreg_transfor_gauss.nii,4658.045,5075.691,5376.6064,5037.2593,4904.058,5074.19,5130.9746,5246.0347,5283.0337,5254.755,5380.8223,5636.4966,5758.8022,5337.2134,5500.947,5676.6675,5280.456,5261.0693,5065.5967,5130.6685,5450.9224,5294.727,5732.461,5573.791,5339.36,5117.656,4962.859,4899.5083,4810.9414,5201.182,5419.841,5264.077,5533.865,5067.106,5287.8525,4982.4546,4750.502,5451.544,4889.1333,4909.2227,5094.4883,4918.56,5003.6104,5016.6045,4896.613,4991.2705,4791.8896,4826.882,4600.7637,4643.006,4751.1187,5006.614,4990.13,5033.4785,4887.5615,4925.4136,4900.7827,4712.192,4758.9097,4752.985
10,virgin_ff,dm_R57C10xGC6s_190507b,nostim,NA,01,dm_R57C10xGC6s_190507b_01_nostim_SEZ_20190529163911_volreg_transfor_gauss.nii,5126.114,5811.8965,5559.383,5766.613,5469.421,5417.1035,5647.0337,5676.3003,5824.9277,5340.3594,5853.564,5536.387,5860.086,5802.9116,5687.6626,5660.025,5836.1294,5889.3506,5769.9634,5866.4604,5542.564,5570.261,5908.5923,5781.917,5647.58,5723.41,5753.6133,5754.3257,5535.0244,5534.4346,5455.0234,5556.783,5448.192,5575.123,5640.884,5602.523,5626.874,5500.8735,5405.084,5259.1265,5544.251,5488.798,5608.0654,5736.9795,5498.468,5883.5864,5638.389,5618.234,5521.5537,5553.887,5540.3486,5443.75,5484.202,5717.9536,5693.2827,5546.1113,5706.9604,5661.032,5584.837,5503.2227
