region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,virgin_ff,dm_R57C10xGC6s_190510b,nostim,NA,01,dm_R57C10xGC6s_190510b_01_nostim_SEZ_volreg_transfor_gauss.nii,5236.7485,5298.251,5321.67,5342.098,5141.57,5024.4478,5074.383,5127.048,5130.885,5024.9395,4871.027,4858.6504,4780.62,4974.8755,4972.5063,4934.605,4991.403,5118.956,4887.5527,5075.165,5003.5894,4832.4204,4932.649,5112.498,5013.4956,5200.6953,5282.7056,5269.5586,5217.7114,5105.436,4909.1357,5038.045,5305.105,5209.5005,5146.3076,5008.0083,5283.681,5505.054,5529.6567,5269.988,5123.853,5221.9277,5390.0747,5569.4756,5467.4487,5500.464,5516.187,5321.2627,5509.756,5364.706,5335.3013,5272.1353,5322.513,5372.8164,5491.8604,5578.689,5400.843,5255.606,5268.6377,5336.52
2,virgin_ff,dm_R57C10xGC6s_190510b,nostim,NA,01,dm_R57C10xGC6s_190510b_01_nostim_SEZ_volreg_transfor_gauss.nii,3276.5205,3284.567,3379.2495,3322.326,3287.7751,3302.1814,3291.402,3322.8098,3252.1619,3248.8242,3300.2446,3210.7146,3208.1216,3278.8198,3369.424,3222.8054,3286.745,3272.0977,3257.3005,3256.268,3226.8635,3245.9207,3299.0713,3274.7107,3242.9631,3257.8457,3256.048,3257.4148,3322.1577,3308.128,3120.1414,3264.56,3255.3804,3206.5403,3307.6,3227.6992,3252.8596,3327.4543,3293.618,3310.545,3211.9927,3333.7021,3358.564,3328.7795,3324.0872,3303.3474,3345.9944,3304.7751,3252.273,3284.545,3264.359,3219.0452,3250.5688,3297.5276,3281.1655,3375.0151,3266.9736,3271.7766,3259.3777,3310.9016
3,virgin_ff,dm_R57C10xGC6s_190510b,nostim,NA,01,dm_R57C10xGC6s_190510b_01_nostim_SEZ_volreg_transfor_gauss.nii,5689.328,5653.3564,5221.9663,5075.0684,5374.276,5132.7715,4854.1963,5172.6987,5229.8296,5219.142,5116.0356,5040.222,5209.331,5258.138,4992.6846,4859.757,5206.1787,5192.043,4974.805,5240.9727,5393.241,5066.57,5110.6343,5145.7305,5277.076,5431.3525,4936.345,5266.505,4989.251,4944.0728,4773.567,4658.422,4795.5947,4794.29,5464.0835,5007.76,5012.8896,5042.1743,4932.2646,4893.5654,4929.8877,5194.916,4840.996,5252.7437,5428.407,5237.7017,5034.2773,5033.773,5150.157,5241.473,4928.597,4952.0205,4959.041,5237.722,4679.9917,5102.618,5098.776,5276.9883,5170.836,5089.3643
4,virgin_ff,dm_R57C10xGC6s_190510b,nostim,NA,01,dm_R57C10xGC6s_190510b_01_nostim_SEZ_volreg_transfor_gauss.nii,5777.5034,5587.18,5542.6514,5307.0103,5252.377,5206.888,5237.463,5301.3594,5387.3564,5340.946,5154.201,4978.246,4855.6064,5166.5786,5282.3003,5275.462,5220.526,5420.895,5286.754,5343.957,5346.444,5176.797,5101.7837,5053.5747,5121.982,5201.0166,5297.5024,5361.8213,5466.7847,5462.6855,5365.145,5129.737,5208.3096,5234.68,5168.862,5087.218,5409.662,5404.85,5526.5825,5496.213,5373.088,5372.7397,5343.4917,5469.746,5555.4517,5716.125,5661.7847,5626.2256,5394.0947,5486.306,5471.6396,5469.2666,5437.9736,5625.514,5467.1743,5494.186,5484.8203,5569.101,5374.992,5418.636
5,virgin_ff,dm_R57C10xGC6s_190510b,nostim,NA,01,dm_R57C10xGC6s_190510b_01_nostim_SEZ_volreg_transfor_gauss.nii,6202.662,6323.946,6178.7236,6062.8345,6008.7754,5898.1523,5857.2437,5929.689,5927.452,5927.597,5712.0303,5547.701,5606.1353,5800.4966,5892.4214,5852.9097,5866.7236,6009.789,5926.795,5893.451,5753.0522,5654.421,5766.944,5805.6772,5823.548,6055.1216,6148.718,6192.0854,6161.3813,6006.3125,5656.774,5915.325,6115.2485,5989.0283,5879.8066,5831.2856,6165.763,6415.2495,6269.29,6180.758,5931.8574,6154.276,6433.3276,6565.8955,6408.5996,6551.63,6437.3643,6341.417,6542.373,6332.202,6300.056,6156.352,6162.02,6419.4106,6448.072,6443.426,6277.9663,6086.2812,6212.6167,6356.6436
6,virgin_ff,dm_R57C10xGC6s_190510b,nostim,NA,01,dm_R57C10xGC6s_190510b_01_nostim_SEZ_volreg_transfor_gauss.nii,6357.4453,6349.5933,6411.716,6336.478,6530.6416,6318.4873,6452.7715,6484.229,6355.6123,6197.279,6019.8447,5855.5933,5808.3374,6053.776,6047.296,5886.29,5984.95,5998.5635,6032.224,5828.9233,5888.549,5740.413,5805.8647,6008.391,5784.7744,5956.5283,5934.7407,6188.524,6107.097,6094.443,5658.8477,5779.1914,6091.7275,5886.332,5872.2065,5936.19,6123.825,6273.923,6273.387,6212.3613,6030.9937,6207.957,6393.3716,6308.3955,6341.06,6292.0596,6374.601,6095.16,6223.814,6180.47,6179.5376,5882.484,6033.4595,6175.8945,6107.1006,6105.4272,6209.9214,5954.7764,5956.343,5891.076
7,virgin_ff,dm_R57C10xGC6s_190510b,nostim,NA,01,dm_R57C10xGC6s_190510b_01_nostim_SEZ_volreg_transfor_gauss.nii,4498.949,4557.1597,4650.4316,4571.4976,4533.205,4479.0776,4492.51,4517.877,4597.681,4518.349,4343.936,4265.7188,4213.2266,4390.9746,4484.3755,4380.0034,4395.527,4458.0176,4398.4756,4354.0356,4338.677,4239.0615,4344.427,4432.206,4482.1167,4478.2295,4505.904,4528.1973,4492.928,4469.847,4391.32,4373.8804,4501.028,4518.3457,4380.708,4469.8833,4546.016,4697.2666,4673.17,4556.6074,4353.7124,4547.3096,4724.0283,4724.3203,4667.232,4701.3823,4642.86,4658.6978,4626.0376,4579.998,4582.906,4419.7056,4451.8315,4603.947,4756.8794,4705.893,4605.5273,4485.385,4505.895,4533.1904
8,virgin_ff,dm_R57C10xGC6s_190510b,nostim,NA,01,dm_R57C10xGC6s_190510b_01_nostim_SEZ_volreg_transfor_gauss.nii,5282.3306,5225.575,5385.3013,5276.0605,5072.604,4978.7505,5194.725,5204.5205,5273.314,5252.4365,4999.9644,4987.6143,4841.039,5066.3105,5131.022,5135.193,5171.4062,5253.0723,5132.5244,5137.368,5033.732,4950.53,4880.0425,4931.519,5033.457,5185.7065,5182.4937,5235.5327,5216.062,5243.5977,5148.197,4917.0786,5045.1885,5010.6787,4977.7783,5005.8154,5057.239,5240.5615,5351.0234,5142.2793,5027.8286,5049.1855,5085.6387,5274.7603,5277.584,5235.4487,5312.9585,5098.6006,5231.6035,5138.198,5151.0737,5108.072,5135.4277,5072.7017,5065.1895,5196.95,5148.162,5115.619,5091.444,5117.687
9,virgin_ff,dm_R57C10xGC6s_190510b,nostim,NA,01,dm_R57C10xGC6s_190510b_01_nostim_SEZ_volreg_transfor_gauss.nii,3732.5652,3770.8987,3799.229,3761.0469,3803.5007,3830.1716,3735.0835,3729.5344,3699.3833,3659.3303,3698.6018,3553.7375,3658.528,3679.598,3686.726,3580.1357,3589.7231,3638.2805,3632.471,3555.2646,3619.566,3625.4539,3794.24,3876.9678,3840.6365,3832.772,3741.19,3719.2593,3703.433,3650.7131,3546.2102,3781.5793,3943.82,3875.7678,3848.3909,3788.552,3948.3362,4016.581,3906.7031,3835.5251,3702.4495,3902.1675,4045.6213,4023.2363,3886.4153,3847.746,3801.5806,3874.7644,3963.2148,3842.7876,3790.648,3733.9238,3723.457,3858.816,3979.08,3919.5916,3812.0442,3725.7585,3758.719,3847.6006
10,virgin_ff,dm_R57C10xGC6s_190510b,nostim,NA,01,dm_R57C10xGC6s_190510b_01_nostim_SEZ_volreg_transfor_gauss.nii,3704.3647,3635.5264,3748.0994,3556.8398,3303.9207,3154.5527,3340.5386,3342.4197,3481.4746,3427.401,3193.5942,3149.098,2947.715,3218.2861,3283.4387,3298.7617,3289.723,3577.4417,3396.2957,3406.0386,3471.7424,3233.9006,3098.1238,3036.151,3120.8672,3215.6863,3234.7563,3311.022,3287.58,3416.015,3562.4495,3102.8647,3069.658,3129.2,2982.4146,3004.765,3057.621,3153.8591,3239.529,3104.845,3082.8083,3098.8572,3046.4407,3204.988,3203.4595,3236.0671,3194.6873,3141.1477,3162.0884,3212.187,3155.522,3180.155,3258.7378,3304.9763,3291.2595,3283.7986,3184.9966,3274.599,3176.9846,3272.8008
