region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,virgin_ff,dm_R57C10xGC6s_190510b,h2o,NA,02,dm_R57C10xGC6s_190510b_02_h2o_SEZ_volreg_transfor_gauss.nii,5338.7427,5517.728,5548.3174,5615.2754,5515.6567,5472.353,5411.8296,5265.8774,5144.4487,5218.7573,5161.8506,5166.24,4732.2812,4337.2773,4458.753,4463.229,4711.0347,4755.572,5028.9814,5280.093,5258.811,5191.327,5215.6816,5142.5415,5085.9717,5126.6807,5473.1123,5441.6694,5342.1743,5246.372,5277.0996,5232.528,5155.923,5382.46,5546.6323,5630.194,5502.4604,5365.8896,5386.7544,5420.472,5437.764,5380.261,5285.4995,5346.5435,5481.954,5502.195,5521.435,5460.8193,5210.169,5178.7993,5303.6753,5354.099,5355.726,5177.522,5211.44,5405.8066,5359.629,5397.587,5211.982,5153.8174
2,virgin_ff,dm_R57C10xGC6s_190510b,h2o,NA,02,dm_R57C10xGC6s_190510b_02_h2o_SEZ_volreg_transfor_gauss.nii,3239.2942,3283.5833,3330.0457,3317.5088,3208.1423,3276.4875,3305.129,3195.743,3243.4417,3263.0288,3301.926,3317.3245,3214.2693,3273.4595,3238.4573,3231.8684,3194.2598,3226.4368,3248.8662,3306.5625,3258.255,3250.5876,3230.5752,3238.9165,3236.225,3246.3918,3331.8787,3282.2397,3248.9111,3256.9536,3263.4683,3300.0408,3273.7498,3302.3894,3289.3564,3404.4854,3270.8086,3302.581,3249.5212,3205.6855,3246.8157,3246.4712,3205.6853,3283.091,3294.4993,3204.1965,3342.7756,3287.8403,3238.8826,3224.2761,3184.7573,3241.6492,3292.1667,3203.987,3233.7886,3233.1653,3168.8892,3276.6543,3220.953,3142.5552
3,virgin_ff,dm_R57C10xGC6s_190510b,h2o,NA,02,dm_R57C10xGC6s_190510b_02_h2o_SEZ_volreg_transfor_gauss.nii,5511.384,5413.102,5240.466,5489.6274,5062.064,5219.864,5081.427,5007.2915,5071.3193,5251.8774,5379.674,5933.068,5981.234,4866.123,4918.6255,4246.795,5088.578,4452.9233,4797.8315,5212.0117,5101.0366,5535.283,5751.8887,5908.717,5368.8784,5572.8765,5569.509,5483.9683,5529.3237,5217.579,5515.7646,5577.695,5190.1914,5536.3535,5154.275,5208.3867,5176.5303,5357.424,5281.669,5241.3345,5118.659,5045.721,5317.5645,5113.681,5380.982,5230.831,5424.1196,5297.569,5245.1323,4837.8213,5111.4385,5165.8564,5071.55,5189.597,5423.698,5192.482,5261.8296,5138.859,5153.75,5415.417
4,virgin_ff,dm_R57C10xGC6s_190510b,h2o,NA,02,dm_R57C10xGC6s_190510b_02_h2o_SEZ_volreg_transfor_gauss.nii,5795.18,5701.726,5593.628,5555.0312,5262.925,5392.3164,5389.57,5278.1255,5204.065,5285.95,5439.7593,6021.6035,6189.5986,6088.734,6192.022,6162.228,6154.993,5862.9517,5778.75,5755.4463,5953.3667,6117.824,5983.6494,6081.7646,5979.7944,5804.3594,5920.35,6100.646,5955.887,5871.894,5819.6416,5759.197,5569.122,5651.185,5695.7847,5793.095,5757.189,5679.222,5730.449,5529.7847,5533.234,5650.5244,5550.686,5652.8247,5671.744,5614.1855,5654.8833,5752.776,5564.633,5645.307,5526.6763,5503.785,5487.3467,5483.1353,5598.1763,5577.2197,5548.0586,5572.323,5577.65,5492.9263
5,virgin_ff,dm_R57C10xGC6s_190510b,h2o,NA,02,dm_R57C10xGC6s_190510b_02_h2o_SEZ_volreg_transfor_gauss.nii,6337.1177,6418.085,6368.13,6335.3086,6283.7656,6377.843,6202.7344,6054.425,6046.5454,5935.622,6319.519,6829.5923,5770.9277,5659.7397,5579.3667,5664.2295,5627.3613,5622.1025,5707.108,5790.193,5968.2373,5888.3022,5830.9375,5903.092,5823.9785,5927.751,6091.0337,6094.991,6108.0215,6044.866,6035.9985,5888.771,5859.9316,6025.085,6238.6094,6358.8086,6171.3154,6124.2993,6095.876,6119.261,6289.3047,6092.7065,5999.8037,6027.0923,6183.4004,6213.0815,6243.0815,6203.269,5925.5205,6046.653,5895.7876,6159.651,6022.9175,5905.911,5989.027,6211.2886,6329.854,6267.8413,6169.341,5941.182
6,virgin_ff,dm_R57C10xGC6s_190510b,h2o,NA,02,dm_R57C10xGC6s_190510b_02_h2o_SEZ_volreg_transfor_gauss.nii,6252.1895,6176.0176,6388.348,6442.1104,6444.433,6345.486,6339.141,6183.656,6078.4297,6078.0435,6406.814,6438.246,5976.4067,6058.913,5747.11,5923.646,5969.115,5959.379,5821.232,6125.355,6118.5513,6082.0283,6114.412,6074.8057,6054.269,6004.646,6348.463,6342.316,6440.588,6434.496,6441.952,6154.1284,6339.491,6264.8667,6517.813,6557.896,6386.8394,6389.7373,6188.4326,6284.256,6333.357,6281.6406,6020.432,6282.132,6271.658,6461.056,6263.6567,6382.1265,6089.5366,6288.6035,6068.421,6291.505,6078.964,6046.7773,6215.404,6348.078,6147.0356,6518.598,6266.0264,6006.8086
7,virgin_ff,dm_R57C10xGC6s_190510b,h2o,NA,02,dm_R57C10xGC6s_190510b_02_h2o_SEZ_volreg_transfor_gauss.nii,4664.1533,4833.5312,4864.6777,4898.2393,4761.9746,4794.921,4747.669,4606.495,4621.7915,4612.725,4571.631,4580.7256,4540.879,4491.342,4631.065,4587.934,4550.962,4569.799,4605.0796,4874.13,4779.806,4677.581,4661.82,4590.768,4629.082,4750.041,4853.17,4822.5205,4764.0566,4795.006,4769.5664,4690.0786,4601.0854,4711.117,4889.785,4984.481,4786.437,4744.2495,4752.386,4696.148,4791.6206,4682.6855,4548.6753,4582.5854,4724.3423,4779.1367,4816.467,4762.3403,4622.0747,4588.5757,4574.1353,4732.6646,4683.484,4488.053,4581.852,4567.192,4621.5195,4709.71,4598.274,4409.7847
8,virgin_ff,dm_R57C10xGC6s_190510b,h2o,NA,02,dm_R57C10xGC6s_190510b_02_h2o_SEZ_volreg_transfor_gauss.nii,5259.7104,5398.663,5435.4478,5459.5728,5311.7744,5466.6846,5417.981,5318.0293,5199.421,5330.001,5230.029,5162.6357,5335.862,5280.446,5377.4956,5344.101,5407.557,5361.019,5369.8755,5437.939,5462.223,5308.993,5418.681,5379.0605,5330.6665,5403.6133,5574.7793,5525.9106,5543.364,5437.9697,5377.046,5357.9233,5298.01,5324.496,5357.363,5519.521,5437.5806,5330.5967,5345.348,5253.8105,5235.2734,5210.7056,5147.6733,5222.35,5233.834,5289.5728,5311.737,5285.7573,5171.0317,5085.6235,5209.7554,5244.077,5196.395,5157.2666,5084.959,5166.693,5196.587,5267.281,5116.7207,5078.012
9,virgin_ff,dm_R57C10xGC6s_190510b,h2o,NA,02,dm_R57C10xGC6s_190510b_02_h2o_SEZ_volreg_transfor_gauss.nii,3720.593,3904.5596,3940.2344,3998.4082,3894.4927,3858.2097,3779.426,3695.374,3716.7234,3715.5352,3820.3916,3944.803,3698.137,3752.133,3702.098,3672.1387,3619.2524,3607.1155,3740.7095,3863.0796,3868.5894,3797.5752,3699.2922,3667.9888,3658.347,3805.2043,3923.9563,3829.2842,3747.2832,3657.4236,3694.2734,3648.3342,3679.2769,3851.655,4051.4524,3961.4133,3781.638,3670.4392,3728.631,3790.4702,3956.1348,3808.7192,3677.6836,3745.4634,3851.714,3872.151,3899.1062,3809.288,3645.3545,3698.9763,3702.6838,3911.6426,3823.4143,3634.3184,3665.9468,3779.9749,3830.6174,3872.375,3737.2502,3583.0884
10,virgin_ff,dm_R57C10xGC6s_190510b,h2o,NA,02,dm_R57C10xGC6s_190510b_02_h2o_SEZ_volreg_transfor_gauss.nii,3584.8848,3559.161,3465.441,3550.5168,3371.6396,3485.4468,3541.0044,3384.3716,3268.6064,3226.2175,3298.9287,3904.7615,3169.215,3332.8074,3212.2666,3192.2295,3165.9053,3137.1072,3096.5984,3105.8215,3064.4802,3128.0713,3080.624,3115.1028,3118.3357,3083.6765,3068.452,3130.6047,3064.4624,3038.623,3185.7788,3266.494,3160.6921,3098.7234,3203.4153,3217.5083,3114.2612,3150.9053,3197.8254,3207.949,3258.2483,3262.3523,3127.0588,3171.9307,3206.325,3103.885,3205.9233,3276.667,3241.2942,3325.8904,3214.8223,3189.152,3179.8596,3193.839,3233.6316,3152.856,3134.0435,3189.9102,3139.3718,3125.2332
11,virgin_ff,dm_R57C10xGC6s_190510b,h2o,NA,02,dm_R57C10xGC6s_190510b_02_h2o_SEZ_volreg_transfor_gauss.nii,3830.0757,3887.0164,3867.4673,3916.3367,3876.6616,3901.9768,3887.2327,3787.4558,3816.4746,3871.4644,3814.8413,3947.148,3924.5718,3962.0615,3917.5264,3902.3374,3903.3015,3846.9006,3827.477,3886.791,3901.4946,3890.6619,3850.1616,3808.0603,3845.462,3846.657,3873.3762,3964.6963,3892.7158,3838.2236,3841.388,3831.2405,3879.9148,3824.5405,3936.3179,4024.8765,3924.1946,3844.5786,3846.1484,3772.2637,3866.8691,3862.4475,3778.7666,3852.9492,3901.647,3914.9746,3979.3496,4006.2751,3927.8467,3870.982,3839.5254,3941.3206,3945.7698,3842.8733,3876.441,3909.805,3929.076,4024.1475,3880.1753,3824.8403
12,virgin_ff,dm_R57C10xGC6s_190510b,h2o,NA,02,dm_R57C10xGC6s_190510b_02_h2o_SEZ_volreg_transfor_gauss.nii,3788.0466,3946.6873,4049.4055,4047.2495,4028.9736,3896.4456,3686.708,3788.7312,3724.8994,3712.3586,3772.4473,3527.7673,3460.4712,3267.7656,3298.4714,3299.3313,3156.1733,3274.5564,3446.5085,3526.112,3535.336,3436.662,3385.4802,3460.8257,3411.2122,3577.5847,3670.2134,3582.0022,3531.31,3525.5774,3585.814,3498.5886,3531.3696,3801.4226,3918.397,3884.4724,3739.962,3689.441,3669.1284,3855.2295,3929.1714,3777.7593,3716.621,3782.1753,3868.249,3958.795,3924.4941,3793.7888,3592.2957,3745.3464,3779.476,3933.7837,3851.165,3676.9348,3761.9854,3874.1936,3979.7437,3821.751,3791.0242,3607.5386
13,virgin_ff,dm_R57C10xGC6s_190510b,h2o,NA,02,dm_R57C10xGC6s_190510b_02_h2o_SEZ_volreg_transfor_gauss.nii,3810.1072,3856.8103,3844.3708,3924.031,3735.1497,3844.7214,3826.6355,3612.8088,3656.3137,3704.9941,3602.9084,3514.956,3653.366,3433.2485,3734.965,3525.498,3662.7747,3880.0334,3781.4536,4004.9436,3917.4106,3739.0847,3788.9216,3767.005,3769.7932,3612.846,3929.613,3936.2505,3875.4497,3705.9766,3801.846,3626.6365,3706.396,3685.3167,3997.2185,3869.8286,3873.5024,3714.2302,3693.178,3636.3557,3612.1777,3711.3677,3752.2773,3579.3926,3794.6802,3821.5571,3742.214,3832.0303,3770.815,3653.085,3712.0928,3623.1633,3565.0098,3741.2534,3624.9368,3655.9927,3718.0325,3580.1345,3589.3376,3518.1543
14,virgin_ff,dm_R57C10xGC6s_190510b,h2o,NA,02,dm_R57C10xGC6s_190510b_02_h2o_SEZ_volreg_transfor_gauss.nii,8141.467,7937.08,7682.489,7562.951,7344.256,7382.435,7370.8003,7178.585,7241.378,7292.307,9122.599,11321.276,10303.1875,10327.703,9408.975,8947.701,9136.001,8396.381,8342.732,8188.4136,9559.004,9914.007,9924.004,10268.39,9821.966,9414.984,9606.217,9294.948,9074.538,8955.884,8648.1045,8402.001,8180.743,7985.4385,7852.0967,7980.967,7691.0513,7495.1035,7439.089,7327.1924,7157.515,7276.5923,7210.1016,7150.144,7143.4854,7091.0435,7170.1826,7258.2817,6916.212,6890.4434,6811.8794,6906.0894,6743.5586,6920.263,7033.9966,7215.0317,7022.6567,7214.701,7143.676,7302.559
15,virgin_ff,dm_R57C10xGC6s_190510b,h2o,NA,02,dm_R57C10xGC6s_190510b_02_h2o_SEZ_volreg_transfor_gauss.nii,4014.9932,4199.5547,3979.9094,4009.711,3938.6926,3904.363,4018.1172,3901.3057,3670.111,3841.7246,3791.2688,3755.5942,3769.4436,3405.7761,3640.089,3604.8171,3790.5823,3891.657,3813.8706,4082.0256,3901.2842,3898.1848,3893.8862,3919.124,3836.3042,3985.9705,3984.7024,4123.8853,4106.1353,3962.445,4001.1191,3943.7385,3978.249,4074.9944,3967.3994,3981.3694,4036.3794,3868.2874,3901.7456,3797.4504,3877.8733,3828.049,3776.7808,3802.555,3926.135,3986.3225,3869.0474,3924.382,3720.803,3799.7703,3848.1267,3819.6968,3921.7256,3837.8618,3793.2864,3785.8005,3882.9229,3789.662,3709.0916,3879.3118
16,virgin_ff,dm_R57C10xGC6s_190510b,h2o,NA,02,dm_R57C10xGC6s_190510b_02_h2o_SEZ_volreg_transfor_gauss.nii,7648.0615,7367.957,7052.742,6874.1113,6740.6587,6823.3765,6676.4536,6456.0312,6407.647,6416.417,6812.266,7364.3237,6349.8003,5703.88,5723.0244,5666.121,6155.3496,6063.272,6360.0933,6491.234,6829.4365,6916.88,6842.7,6790.364,6714.071,6529.483,6728.707,6682.2593,6627.1836,6563.823,6623.564,6692.2495,6646.1455,6721.6113,6827.7524,7037.042,6871.367,6715.321,6800.405,6616.896,6655.443,6651.402,6567.2056,6673.069,6695.944,6803.5557,6717.6143,6854.743,6599.0796,6587.4634,6540.847,6528.9126,6531.669,6553.38,6664.1157,6742.638,6707.7505,6749.8066,6591.715,6714.3
17,virgin_ff,dm_R57C10xGC6s_190510b,h2o,NA,02,dm_R57C10xGC6s_190510b_02_h2o_SEZ_volreg_transfor_gauss.nii,3508.5742,3442.0151,3426.9307,3455.613,3529.0598,3423.5276,3392.495,3332.3215,3306.4673,3314.818,3373.687,3548.2725,3475.6177,3811.2024,3744.7417,3753.8242,3620.2559,3483.7573,3392.335,3399.9944,3386.2373,3461.4045,3457.1257,3429.61,3489.8125,3434.601,3372.9443,3404.6062,3345.7915,3312.106,3340.5808,3243.139,3350.0251,3368.3057,3315.4094,3367.08,3265.224,3349.1711,3278.8066,3291.1528,3325.9915,3265.1204,3187.9526,3345.4446,3323.2363,3339.663,3333.5535,3337.1533,3293.7751,3306.3396,3275.661,3351.5908,3299.9536,3260.8345,3283.6826,3383.911,3463.0537,3424.3076,3397.2415,3416.42
18,virgin_ff,dm_R57C10xGC6s_190510b,h2o,NA,02,dm_R57C10xGC6s_190510b_02_h2o_SEZ_volreg_transfor_gauss.nii,5084.902,5027.053,5083.2583,5079.016,5054.386,5059.027,4847.259,4864.0806,4874.672,4771.921,5005.0093,4988.057,4489.0737,4297.8467,4174.295,4275.4287,4161.863,4124.386,4125.8926,4178.675,4267.7476,4282.349,4203.99,4297.3877,4189.8667,4286.6016,4355.0625,4432.949,4397.8535,4408.3623,4498.918,4486.487,4494.4326,4628.4595,4765.4087,4772.4004,4687.987,4688.8276,4688.09,4780.278,4884.8086,4728.496,4694.177,4771.226,4820.9614,4859.122,4847.9604,4794.9717,4612.679,4760.131,4740.6953,4799.541,4725.8086,4612.795,4797.398,4848.466,4862.883,4732.297,4841.3125,4669.5947
