region,state,fly,stimulus,concentration,stimulus_nr,recording,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,virgin_ff,dm_R57C10xGC6s_190510b,yeast,10%,03,dm_R57C10xGC6s_190510b_03_yeast_10%_SEZ_volreg_transfor_gauss.nii,5374.5317,5636.6216,5810.648,5821.422,5778.0283,5715.4346,5489.0303,5364.506,5435.666,5499.3228,5632.619,5688.144,5634.281,5679.7866,5603.314,5600.201,5626.853,5638.662,5515.232,5720.598,5612.666,5611.688,5414.8765,5502.135,5538.719,5469.553,5295.859,5218.614,5249.3267,5342.749,5441.7256,5467.6714,5390.0938,5335.1294,5338.845,5333.866,5437.073,5493.044,5340.598,5293.478,5264.93,5420.7656,5506.1064,5493.6255,5336.1543,5218.962,5379.417,5378.789,5413.0176,5374.854,5313.781,5266.18,5432.2246,5483.66,5376.456,5188.5786,5163.682,5282.314,5272.81,5349.3525
2,virgin_ff,dm_R57C10xGC6s_190510b,yeast,10%,03,dm_R57C10xGC6s_190510b_03_yeast_10%_SEZ_volreg_transfor_gauss.nii,3095.6228,3207.4202,3258.0151,3203.4436,3159.9321,3127.5452,3161.6519,3144.222,3180.2112,3160.447,3210.817,3137.863,3202.949,3212.2449,3148.0662,3174.0881,3156.795,3146.4373,3158.7378,3181.664,3152.1423,3187.9978,3188.6938,3166.7751,3114.1802,3159.0933,3108.4373,3049.9478,3046.417,3065.113,3159.2173,3190.3755,3156.018,3198.2903,3118.8267,3166.1477,3171.015,3142.71,3156.2468,3156.504,3119.5085,3141.616,3159.59,3192.375,3183.2417,3081.2886,3105.6501,3073.3132,3141.9863,3142.276,3086.5566,3096.6892,3143.5525,3123.7344,3114.229,3150.7734,3058.931,3070.364,3053.6052,3151.5793
3,virgin_ff,dm_R57C10xGC6s_190510b,yeast,10%,03,dm_R57C10xGC6s_190510b_03_yeast_10%_SEZ_volreg_transfor_gauss.nii,5160.5977,4775.195,4629.3613,4748.4556,4759.6543,4987.8813,5107.106,5114.746,5082.0293,5210.2495,4937.679,5066.9277,5572.565,5668.737,5631.799,5760.2646,5554.045,5286.3174,5404.3745,5432.85,5295.377,5552.7935,5480.6797,5520.547,5444.565,5157.3896,5289.71,5499.8423,5283.0435,5553.0073,5335.226,5074.5923,5170.88,5083.8115,5337.947,4912.7383,5054.364,4814.7817,4863.01,5121.0103,5277.8877,4903.8867,5102.885,4592.63,4947.961,4957.1587,5225.7183,4817.717,5081.486,5143.5205,5084.7017,4757.8354,4829.063,4978.5635,5208.578,5027.247,4756.739,4979.8564,5144.5195,5398.878
4,virgin_ff,dm_R57C10xGC6s_190510b,yeast,10%,03,dm_R57C10xGC6s_190510b_03_yeast_10%_SEZ_volreg_transfor_gauss.nii,5288.621,5416.0596,5264.7065,5352.3804,5248.8784,5330.162,5304.393,5531.793,5404.676,5552.8276,5486.038,5551.5205,5795.7075,5967.221,5940.6196,5885.0723,5730.463,5628.0156,5469.89,5573.6265,5378.243,5737.9688,5675.251,5870.637,5640.439,5671.7695,5579.3447,5478.726,5581.0605,5544.3105,5562.3823,5567.404,5565.2744,5639.111,5576.3115,5293.127,5419.5317,5389.2876,5391.247,5520.2744,5490.266,5355.774,5457.842,5375.5933,5380.742,5141.693,5372.0947,5337.994,5383.8027,5322.2847,5498.8647,5290.8105,5443.5923,5293.303,5381.5386,5246.2944,5308.689,5372.665,5265.5347,5547.246
5,virgin_ff,dm_R57C10xGC6s_190510b,yeast,10%,03,dm_R57C10xGC6s_190510b_03_yeast_10%_SEZ_volreg_transfor_gauss.nii,6143.8374,6237.563,6336.83,6345.2393,6310.797,6147.856,5864.6357,5594.3774,5785.5986,5898.5063,6163.326,6141.6553,6300.5083,6391.584,6436.213,6313.4673,6260.3706,6165.855,6057.7036,6176.022,6271.3955,6268.676,6290.3447,6318.5503,6342.386,6337.604,6074.255,5986.5635,5957.1226,6032.16,6108.6763,6195.2876,6009.702,5984.182,5885.1787,5892.528,5985.8633,6146.4365,5963.636,5945.392,5936.5605,6010.768,6137.4097,6190.46,5865.5967,5759.5815,6025.222,6090.3794,6155.1772,6202.7173,6065.321,6012.0293,6103.596,6197.8325,6026.9062,5841.737,5896.8335,6043.899,5981.442,5955.169
6,virgin_ff,dm_R57C10xGC6s_190510b,yeast,10%,03,dm_R57C10xGC6s_190510b_03_yeast_10%_SEZ_volreg_transfor_gauss.nii,5755.81,6019.062,6221.7114,6134.826,6212.582,6108.285,6097.126,5802.2646,6086.6245,6175.4966,6148.4683,6188.243,6152.758,6256.9697,6394.6157,6288.9473,6246.7207,6115.837,6149.9507,6088.8516,6209.381,5989.881,6171.548,6209.3726,6342.6274,6190.0205,5947.445,5964.485,6039.1772,6008.503,6085.3623,6093.752,6248.7676,6267.7153,5957.585,5938.672,6009.42,6117.0776,6169.5215,6118.5083,5958.4087,6036.9287,6216.3643,6202.5464,5789.777,5758.8687,5984.6553,5854.8223,5894.3496,5805.6807,5832.1143,5713.5757,5774.5776,5974.6826,5829.5005,5831.0967,5881.9663,5919.657,5915.795,5855.327
7,virgin_ff,dm_R57C10xGC6s_190510b,yeast,10%,03,dm_R57C10xGC6s_190510b_03_yeast_10%_SEZ_volreg_transfor_gauss.nii,4581.0874,4808.8354,4900.0225,4920.634,4826.087,4740.6465,4701.49,4621.4727,4658.615,4735.8853,4815.2666,4685.899,4690.281,4769.6104,4763.3457,4679.7725,4769.006,4688.851,4626.4644,4706.831,4741.153,4766.7754,4688.1016,4653.0054,4783.8257,4750.873,4651.628,4404.9277,4313.55,4400.5996,4550.4297,4686.0474,4614.1514,4502.523,4449.218,4460.554,4628.5405,4616.8755,4576.033,4463.683,4507.6333,4502.4307,4648.5586,4643.174,4537.8657,4326.187,4517.137,4497.234,4603.111,4577.901,4449.742,4443.9487,4560.256,4667.0317,4564.0024,4412.256,4354.5737,4455.761,4395.169,4464.398
8,virgin_ff,dm_R57C10xGC6s_190510b,yeast,10%,03,dm_R57C10xGC6s_190510b_03_yeast_10%_SEZ_volreg_transfor_gauss.nii,5083.308,5258.683,5311.638,5387.198,5350.631,5294.1865,5314.797,5265.0815,5203.0957,5264.4795,5327.1016,5386.928,5324.9873,5341.0664,5307.838,5146.6016,5282.8535,5373.305,5294.5137,5255.9487,5310.9116,5330.9805,5293.2,5262.749,5220.3726,5224.2803,5194.637,5126.392,5092.756,5096.9634,5150.1265,5268.79,5247.798,5275.323,5245.5547,5143.8613,5273.3486,5189.4956,5173.1255,5249.8906,5218.3413,5217.404,5249.8047,5315.225,5278.9395,5095.2373,5147.076,5132.629,5171.768,5240.042,5186.599,5146.9893,5197.0693,5208.5234,5208.9233,5044.7,4983.2627,5062.747,5095.2188,5225.236
9,virgin_ff,dm_R57C10xGC6s_190510b,yeast,10%,03,dm_R57C10xGC6s_190510b_03_yeast_10%_SEZ_volreg_transfor_gauss.nii,3698.9026,3860.8271,3946.4387,3882.1458,3839.8323,3708.1545,3588.127,3532.3271,3653.5298,3729.1792,3784.9673,3771.5042,3866.1228,4001.513,4095.789,4091.6077,3954.648,3788.6975,3747.5596,3816.1562,3806.249,3767.6985,3725.7603,3786.569,3861.9165,3791.3708,3693.9202,3517.4424,3553.3782,3592.6677,3768.2812,3794.17,3690.0579,3640.3088,3586.3557,3649.5103,3719.6863,3747.9363,3641.3916,3612.6455,3593.6013,3680.5103,3746.5454,3720.9087,3620.0996,3588.1653,3590.8696,3656.27,3777.9143,3685.7239,3571.093,3574.972,3657.8713,3717.309,3603.0613,3567.3489,3509.7615,3573.9844,3511.4888,3511.536
10,virgin_ff,dm_R57C10xGC6s_190510b,yeast,10%,03,dm_R57C10xGC6s_190510b_03_yeast_10%_SEZ_volreg_transfor_gauss.nii,3226.835,3282.707,3327.6929,3280.4663,3256.9185,3224.6982,3453.6328,3425.1313,3176.6167,3200.005,3214.2466,3224.7295,3248.463,3362.7002,3634.5547,3527.555,3490.5298,3387.633,3372.7214,3300.4822,3283.99,3359.4263,3299.4128,3365.7676,3281.6133,3313.0579,3245.9949,3190.6765,3199.747,3182.0503,3206.4668,3220.2976,3197.363,3151.335,3379.87,3212.2786,3220.5938,3267.1675,3231.021,3169.5618,3188.2637,3189.9348,3191.5542,3215.3408,3288.7249,3175.7678,3226.0542,3203.598,3231.339,3214.6782,3396.4495,3320.6968,3345.0142,3301.1843,3335.2444,3222.811,3254.8215,3253.5122,3159.263,3319.7075
11,virgin_ff,dm_R57C10xGC6s_190510b,yeast,10%,03,dm_R57C10xGC6s_190510b_03_yeast_10%_SEZ_volreg_transfor_gauss.nii,3684.5186,3755.0364,3753.96,3745.9817,3731.2725,3741.2803,3697.393,3693.5144,3682.0461,3715.2354,3744.8218,3747.1462,3771.9617,3832.5408,3883.569,3907.5442,3854.1978,3822.1257,3738.8943,3763.2212,3686.1804,3759.0461,3719.4814,3695.3328,3741.1172,3659.2925,3688.497,3590.4512,3572.2556,3592.462,3692.697,3686.5015,3737.3496,3717.836,3703.2512,3674.9944,3720.6287,3673.8203,3638.8845,3654.0176,3598.2478,3677.6506,3667.9763,3655.5732,3665.343,3568.1833,3586.2993,3552.666,3638.0977,3713.6545,3741.8713,3651.1057,3716.4473,3740.0012,3699.129,3620.381,3590.8408,3617.0005,3553.3232,3581.9426
12,virgin_ff,dm_R57C10xGC6s_190510b,yeast,10%,03,dm_R57C10xGC6s_190510b_03_yeast_10%_SEZ_volreg_transfor_gauss.nii,3829.2864,4021.392,4142.0215,4063.0303,4002.043,3830.9858,3685.332,3461.2246,3624.8708,3710.3472,3803.2446,3732.2112,3783.1062,3939.709,3884.0095,3914.0156,3770.957,3709.8699,3712.24,3884.8784,3876.9941,3836.1047,3762.514,3876.118,3901.8025,3872.128,3698.4307,3687.4634,3713.007,3707.186,3872.8367,3852.1675,3670.0186,3634.362,3536.8484,3749.3494,3757.4478,3907.0732,3723.9658,3621.805,3645.5483,3775.4578,3904.6787,3880.3782,3657.3794,3676.6982,3772.357,3842.618,3864.0327,3810.1152,3687.7502,3708.9507,3856.9995,3925.6133,3692.6174,3663.3066,3689.6584,3746.232,3715.157,3646.3167
13,virgin_ff,dm_R57C10xGC6s_190510b,yeast,10%,03,dm_R57C10xGC6s_190510b_03_yeast_10%_SEZ_volreg_transfor_gauss.nii,3650.9785,3766.55,3917.057,3900.2036,3839.5676,3842.1648,3877.8298,3844.279,3964.8345,3909.327,3988.8135,3844.1082,3771.9639,3651.2708,3725.1028,3460.249,3862.965,3853.804,3703.344,3942.0903,3747.847,3627.192,3598.5576,3634.9392,3618.5151,3628.2751,3643.6013,3692.6848,3690.6973,3476.2913,3877.5752,3965.9797,3786.3972,3662.7969,3960.0635,3498.7866,3800.0017,3747.7976,3839.5083,3839.1033,3683.647,3745.1167,3999.4207,3767.4436,3680.0608,3692.3118,3831.561,3562.4524,3841.4607,3884.551,3734.6426,3769.2385,3722.2922,3674.696,3610.0942,3777.0945,3638.4695,3748.4663,3674.551,3755.0464
